# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=505920961
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_full_soccr_study2_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-42.876,0.749763,0.699334,1,3,0,45.1726,0.63041,-0.402381,6.58919,-9.24702,3.94307,-4.51797
-43.4591,0.920432,0.699334,2,3,0,44.0891,0.726361,-0.276344,-3.678,3.71694,6.17313,6.16697
-43.2283,1,0.699334,1,1,0,43.5447,0.685292,-0.27439,2.71139,1.89995,5.6421,6.0325
-42.2727,1,0.699334,2,3,0,43.2524,0.461287,-0.379036,-4.5146,-5.03865,1.99163,-3.94241
-42.7066,0.848999,0.699334,1,3,0,44.4693,0.377089,-0.199369,-2.10316,15.4228,1.68455,10.9603
-42.6314,1,0.699334,2,3,0,42.7724,0.379432,-0.20682,-0.550308,-4.39721,1.6943,10.2916
-43.4985,0.939612,0.699334,3,7,0,43.7688,-0.0864747,-0.42977,2.18572,-3.47158,-5.06819,-9.3176
-42.3658,0.919187,0.699334,2,3,0,44.8999,0.366106,-0.416763,5.28931,14.5988,0.57655,-7.41192
-42.4452,0.991742,0.699334,1,1,0,42.4683,0.384269,-0.425511,-0.0629402,-1.85261,0.754114,-7.97963
-43.7865,0.868074,0.699334,3,7,0,44.4835,0.376932,-0.124418,-2.6975,-7.81747,1.88586,17.9012
-42.0158,0.877826,0.699334,2,3,0,45.5339,0.359569,-0.334617,-3.45094,-21.3631,0.895269,-0.901468
-42.7053,0.8526,0.699334,2,3,0,43.5775,0.36387,-0.197581,3.01216,8.75568,1.49452,11.0809
-42.0965,1,0.699334,2,3,0,42.7613,0.417909,-0.341007,-0.91902,-9.72703,1.64421,-1.13839
-42.1548,0.952054,0.699334,2,3,0,42.6384,0.450667,-0.320893,3.47335,0.771703,2.19183,0.696445
-42.2072,0.967519,0.699334,3,7,0,42.7223,0.18396,-0.257151,-0.250668,8.76633,-1.31274,5.20545
-43.377,0.783063,0.699334,3,7,0,45.1905,0.752055,-0.341495,6.42863,5.05469,5.98156,1.1967
-43.2345,0.908545,0.699334,2,3,0,45.3494,0.588303,-0.471528,7.27742,-1.17722,2.86481,-9.94096
-43.8343,0.958824,0.699334,2,3,0,44.236,0.802412,-0.428079,-1.83274,-6.34026,5.77,-4.81538
-43.5538,1,0.699334,2,3,0,43.8744,0.748555,-0.430513,2.75573,-1.67385,5.11122,-5.53284
-43.4918,0.989216,0.699334,2,7,0,44.2715,0.558536,-0.50155,4.21479,3.3183,2.28125,-12.2827
-43.3662,0.99329,0.699334,3,7,0,44.4951,0.283224,-0.14288,4.91271,-5.0376,0.41106,15.9696
-42.0645,0.953753,0.699334,3,7,0,44.2803,0.182544,-0.331133,0.604605,-18.1651,-1.49591,-1.22825
-42.4279,0.870652,0.699334,1,3,0,43.6026,0.527352,-0.377818,5.20688,-3.80952,2.8422,-3.4142
-43.8383,0.628145,0.699334,1,3,0,49.0638,-0.228948,-0.308113,11.0813,-7.17389,-7.20464,0.847977
-42.5605,0.995567,0.699334,2,7,0,44.2285,0.258584,-0.438006,-6.45417,1.33324,-0.841376,-9.50321
-43.5602,0.867375,0.699334,3,7,0,45.3493,0.686972,-0.232857,-6.20574,6.21816,5.93808,9.49139
-42.6206,1,0.699334,2,3,0,43.7645,0.600562,-0.331791,2.99199,10.8681,4.11264,0.758298
-42.9301,0.975733,0.699334,3,7,0,43.2393,0.599187,-0.252752,1.38563,-5.90825,4.61438,7.28204
-42.4528,0.751003,0.699334,1,3,0,46.0973,0.0821725,-0.380266,-8.27427,-11.7596,-2.9263,-5.45187
-42.4181,0.989755,0.699334,3,7,0,42.761,0.458112,-0.252655,-2.92769,-0.557711,2.64472,6.53819
