# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=940085228
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_null_soccr_study2_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,p_gamma.1,g_gamma.1
-45.7021,0.959604,0.619839,1,3,0,46.673,0.233996,-5.17238,-0.235621
-45.726,0.998091,0.619839,2,3,0,45.7261,0.192023,0.0419935,-0.906321
-45.9012,0.986355,0.619839,2,3,0,45.9055,0.0903556,0.345757,-2.54084
-45.9273,0.962239,0.619839,2,3,0,46.4312,0.0803929,-3.72639,-2.70154
-45.8091,0.977193,0.619839,2,3,0,46.2547,0.132142,-3.50396,-1.86765
-45.9112,0.993812,0.619839,2,5,0,45.9285,0.412216,-0.690666,2.56958
-46.2682,0.978541,0.619839,2,5,0,46.2837,-0.0172942,-0.653387,-4.27947
-45.9151,0.992921,0.619839,3,7,0,46.5112,0.413702,4.05272,2.59261
-45.867,0.985194,0.619839,3,7,0,46.3075,0.393983,3.48388,2.28647
-45.8345,1,0.619839,1,1,0,45.8686,0.379038,0.968653,2.05368
-45.7709,0.998935,0.619839,2,3,0,45.8596,0.343118,1.56378,1.49155
-45.7922,0.999222,0.619839,2,3,0,45.7941,0.356501,0.229833,1.70141
-45.7318,0.975643,0.619839,1,3,0,46.171,0.18601,3.47877,-1.00263
-45.7079,0.899223,0.619839,3,7,0,47.5278,0.217956,-7.08138,-0.491576
-45.7006,0.999675,0.619839,1,3,0,45.7131,0.243079,-0.586586,-0.0908771
-45.738,0.99691,0.619839,2,5,0,45.7411,0.317707,-0.291324,1.09182
-45.7557,0.998057,0.619839,1,1,0,45.756,0.332378,0.0838696,1.32281
-45.7008,0.996401,0.619839,1,3,0,45.8083,0.256724,1.72069,0.12625
