# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1099984735
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_null_soccr_study1_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,p_gamma.1,g_gamma.1
-31.0274,0.975132,0.530373,1,1,0,31.0284,-0.227943,-0.130031,4.46695
-30.4937,0.999612,0.530373,2,3,0,31.0691,-0.373346,3.10504,2.88051
-30.4451,1,0.530373,2,3,0,30.5035,-0.390763,-0.989246,2.69296
-30.3018,0.977876,0.530373,2,5,0,30.9131,-0.850365,3.20027,-1.96438
-30.3018,0.920286,0.530373,1,3,0,31.5503,-0.850365,4.57372,-1.96438
-30.4821,0.995766,0.530373,3,7,0,30.5229,-0.927903,0.827295,-2.68105
-30.8077,0.98133,0.530373,2,5,0,30.9953,-0.280539,-1.77309,3.88927
-30.2047,0.984224,0.530373,1,3,0,31.1401,-0.50662,3.95893,1.46234
-30.21,0.999538,0.530373,1,1,0,30.2169,-0.503078,-0.341704,1.49948
-30.2439,0.983109,0.530373,3,7,0,30.7067,-0.481973,2.78459,1.72148
-30.4068,0.990045,0.530373,2,3,0,30.4408,-0.405429,-0.755122,2.53551
-31.1067,0.956968,0.530373,2,3,0,31.1511,-0.210565,0.862818,4.65861
-31.1778,0.99781,0.530373,2,3,0,31.2427,-0.19557,-1.04247,4.82427
-31.4303,0.976798,0.530373,1,1,0,31.4549,-0.146045,-0.642553,5.37299
-31.6414,0.980498,0.530373,1,1,0,31.694,-0.108232,-0.939009,5.7933
-30.3832,0.974456,0.530373,2,3,0,32.2595,-0.414906,-5.6069,2.43402
-30.4064,0.997917,0.530373,1,1,0,30.4228,-0.405569,0.524505,2.53401
-30.542,0.987834,0.530373,1,1,0,30.5421,-0.357054,0.0441926,3.05648
-30.5248,1,0.530373,1,1,0,30.5715,-0.362741,0.884065,2.995
-31.3305,0.889271,0.530373,2,5,0,32.6445,-1.15776,-4.69224,-4.66593
-31.117,1,0.530373,1,1,0,31.3296,-1.10999,-1.88722,-4.27116
-31.4728,0.975656,0.530373,1,1,0,31.4732,-1.18748,0.0771011,-4.90677
-30.2838,0.973314,0.530373,2,7,0,32.4116,-0.840967,-5.97097,-1.87599
-30.1575,1,0.530373,3,7,0,30.2794,-0.543816,1.4288,1.07421
-30.4309,0.99119,0.530373,3,7,0,30.4319,-0.39609,0.128742,2.63572
-30.5084,0.964396,0.530373,2,3,0,31.0355,-0.368283,2.97193,2.93514
-30.6892,0.997671,0.530373,3,7,0,30.6894,-0.312436,0.0568447,3.5409
-30.7814,0.986523,0.530373,2,3,0,31.0223,-0.287351,-2.00898,3.81473
-30.1883,1,0.530373,2,7,0,30.7433,-0.780968,-3.04937,-1.30406
-30.168,1,0.530373,1,1,0,30.1871,-0.764417,-0.564818,-1.14403
-30.2901,0.936783,0.530373,2,5,0,31.4084,-0.457055,-4.32866,1.985
-30.1258,1,0.530373,2,7,0,30.2801,-0.718462,1.60799,-0.694757
-30.1323,0.99946,0.530373,1,1,0,30.1326,-0.727315,0.0675036,-0.781861
-30.5725,0.979543,0.530373,2,7,0,30.5846,-0.959892,-0.451434,-2.96999
-30.1139,0.999136,0.530373,2,5,0,30.5659,-0.69852,-2.752,-0.497585
-30.8266,0.855341,0.530373,1,3,0,32.7205,-0.275708,-5.63327,3.94217
-30.8101,0.988098,0.530373,2,5,0,31.2639,-1.03212,-2.75741,-3.60749
