# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1831671311
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_interaction_soccr_study2_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3
-45.1718,0.942398,0.124626,5,31,0,46.3217,0.491332,0.448812,0.0592829,-0.659097,2.74126,-1.67861,-6.07837,0.179396,3.33728,12.3544,6.45233,11.1677
-45.4552,1,0.124626,4,15,0,46.7527,0.265498,0.136959,0.182417,-0.513811,2.50347,-1.21116,6.27344,-1.49536,-0.712018,-1.56673,16.7643,-0.484086
-45.7537,0.999173,0.124626,5,31,0,46.4743,0.238923,-0.587358,-0.346005,0.275599,1.28963,-1.50537,-1.72998,1.05706,-1.26713,0.916788,-17.3485,0.0889293
-47.8689,0.735762,0.124626,4,27,0,51.0135,0.177069,-0.0809651,-0.338512,-0.425008,-0.573715,3.70104,7.76904,0.223541,-1.64192,-9.97728,-19.1943,-12.5631
-48.1154,0.91475,0.124626,4,15,0,49.4583,0.220309,0.19796,-0.311083,-0.320444,1.85256,-0.92599,7.89018,-1.56107,-0.930678,17.5397,-21.1835,14.1045
-46.8556,0.999352,0.124626,4,31,0,50.6725,-0.189841,-0.58347,-0.271969,0.151989,2.33803,3.46419,-11.9154,-0.397704,-6.34223,-8.65172,-11.9366,-8.52056
-44.0207,0.98853,0.124626,4,15,0,48.4999,0.0428897,0.160143,-0.0323446,-0.461684,6.89782,1.6994,14.9944,0.727092,-3.27123,2.15885,0.263371,1.23627
-44.9231,0.970446,0.124626,5,31,0,46.5803,0.390759,-0.970787,-0.245266,0.722458,-3.98895,-0.15149,10.0271,0.807102,1.08413,4.52137,-5.29155,6.31653
-46.8959,0.935254,0.124626,5,31,0,49.1313,-0.0396973,-0.918918,0.0261618,0.455768,0.933126,-1.90029,4.77125,2.62986,-4.32239,-12.1547,11.7386,-8.58662
-46.6993,0.811897,0.124626,2,7,0,48.6908,-0.0215429,-0.77199,0.0219018,0.569524,2.32585,2.59476,-2.77132,1.5836,-4.19657,9.3237,15.9751,13.0967
-45.1418,1,0.124626,4,15,0,46.8254,0.0312925,-0.783673,-0.052431,0.532706,-2.57848,0.187319,9.36662,1.77356,-3.53281,4.14958,8.44146,7.12857
-44.2777,0.916028,0.124626,5,31,0,46.0887,0.614469,-0.137574,-0.0255707,-0.251575,-0.316405,0.993083,-10.2725,1.78913,3.8817,-3.24143,2.45364,-3.14138
-45.3648,0.999092,0.124626,5,31,0,45.7194,-0.0495639,-0.199197,0.090606,-0.133731,-0.316064,0.534142,-0.704267,-1.24207,-4.71857,-0.389984,13.7118,1.2823
-44.8684,0.958966,0.124626,4,15,0,46.1106,0.0641223,-0.217156,0.0853919,-0.129154,-4.99056,0.727136,3.43471,0.893433,-3.16113,-1.57564,13.0827,0.111828
-44.7499,0.994023,0.124626,4,31,0,47.5321,0.456046,0.568668,0.0887805,-0.953238,5.40826,2.21842,-4.27116,-1.86445,2.01698,-1.50808,4.25639,-3.26519
-45.1496,0.953638,0.124626,5,31,0,46.3294,0.494949,0.0909814,0.138717,-0.411366,-0.351501,-0.667079,-1.91515,2.35811,2.72292,3.31761,14.6449,4.31851
-44.1625,0.999928,0.124626,4,15,0,45.7623,0.534167,0.194145,0.0147526,-0.510791,-0.0256752,0.835485,-12.3598,0.0180527,3.41121,2.75993,3.28331,1.9891
-46.3286,0.956935,0.124626,3,15,0,46.9954,0.835724,0.36807,-0.101294,-0.745205,-2.22566,0.708311,4.90005,0.939424,6.65831,0.398938,-7.5783,-2.45074
-45.3279,0.983009,0.124626,5,31,0,48.9795,0.0643607,0.708969,0.0868406,-1.11517,-7.17049,-1.11077,10.952,1.5452,-3.01091,-3.98389,3.69882,-6.19124
-44.386,0.830468,0.124626,4,31,0,48.3552,0.0304362,0.0833318,0.051713,-0.442511,0.688515,-4.42566,-5.40652,0.432014,-3.59291,-2.39249,7.27018,-2.28495
-44.4343,0.895173,0.124626,3,11,0,45.86,0.159848,0.0675363,-0.00719113,-0.259744,4.26742,0.127284,-7.33478,1.17455,-1.54234,11.6583,4.94746,11.5289
-43.9166,0.979284,0.124626,4,19,0,45.0246,0.346958,-0.0720463,0.0364236,-0.228507,-2.68017,1.5665,1.63039,1.40138,0.886186,2.69264,8.27065,3.39015
-44.3004,0.935694,0.124626,5,31,0,45.7337,0.388926,-0.609938,-0.0640521,0.363577,-4.99538,-0.872078,-5.78238,-0.687659,1.60829,5.61257,6.27211,7.75258
-45.5741,0.997416,0.124626,4,15,0,45.9933,0.311334,-0.852297,0.0182198,0.567675,-1.92256,0.155233,3.21281,0.986373,0.512086,2.35263,15.0477,6.29551
-47.0455,0.860185,0.124626,4,15,0,47.6387,0.377863,-1.00856,0.0441659,0.505569,-1.33625,-1.47542,2.66451,-0.551429,0.420181,-13.7407,13.7012,-9.59661
-44.1872,0.908633,0.124626,4,31,0,50.5092,0.50565,-0.219,-0.110225,-0.208742,1.45414,0.905292,-12.4756,-4.91664,2.20748,-7.07877,-3.439,-7.50809
-45.0348,0.946108,0.124626,2,3,0,45.2236,0.514308,-0.0729492,-0.132066,-0.0930227,0.0694133,0.380939,-4.06866,0.113655,3.61002,13.9119,-3.98664,13.1193
-46.2482,0.999377,0.124626,4,15,0,46.4624,0.765469,-0.682907,-0.100631,0.150568,-0.371447,-0.593365,1.35288,0.815237,4.09424,-13.0301,1.22697,-11.663
-44.3964,0.89314,0.124626,3,15,0,50.0078,0.573332,-0.209879,-0.165413,-0.170766,-6.73401,-0.194781,-5.95787,-4.38852,3.23423,-3.0633,-7.10343,-4.03381
-43.9007,0.911687,0.124626,5,63,0,45.7593,0.436947,0.188254,-0.0507567,-0.550277,3.39926,1.13703,-7.91849,1.78727,1.91471,-1.57208,-2.45795,-3.03292
-44.0883,0.954158,0.124626,3,15,0,45.7105,0.398835,0.0915991,-0.0398003,-0.522412,4.40045,1.64643,-4.65277,-1.09378,1.07034,-7.10425,-1.36934,-8.11973
-45.7705,0.96496,0.124626,4,27,0,46.7844,0.860104,-0.334457,-0.0278029,0.000424791,-1.52872,2.15618,2.01691,0.393061,7.36877,2.5761,5.52055,3.61978
-45.9091,0.924651,0.124626,4,15,0,47.1415,0.786233,-0.624141,-0.00125698,0.217508,3.63893,-0.805858,1.22776,-1.82023,5.77257,-3.82407,9.31988,-1.37383
-46.2248,0.935331,0.124626,4,31,0,49.8777,0.466059,0.38076,0.185404,-0.623656,-5.85734,2.57685,-4.7009,-2.28992,2.61999,10.9373,17.636,11.337
-45.6062,0.999526,0.124626,5,31,0,47.6008,0.0713132,0.744595,-0.0643204,-1.12794,0.367136,3.12842,2.75396,-0.725869,-2.37664,-2.02466,-8.0071,-5.64917
-44.3673,0.95046,0.124626,5,31,0,47.0469,0.599865,-0.49987,-0.117511,0.221142,4.67649,0.289854,-11.7682,1.71515,4.2548,4.11299,0.544486,5.08827
-46.6245,0.999622,0.124626,4,15,0,47.0897,0.992787,-0.168034,-0.0751857,-0.26416,-0.73581,-0.621781,-1.99205,1.32939,7.85594,-2.81663,-0.892793,-3.28618
-46.5561,0.997253,0.124626,3,7,0,46.8969,0.986465,-0.12504,-0.0588859,-0.225758,-2.86047,-0.356669,1.22346,-0.27213,8.69245,2.83491,0.936275,2.55611
-45.4062,0.92682,0.124626,5,31,0,48.3524,0.440316,0.34227,-0.136762,-0.52044,-8.91465,-0.22082,3.59357,0.216874,2.51312,13.4761,-8.81098,10.85
-43.5725,0.699334,0.124626,4,19,0,48.5811,0.199775,-0.0136476,-0.0747701,-0.287486,4.36459,-1.73085,-5.97713,-4.25078,-1.1272,1.79499,-1.74919,1.13777
-44.5473,0.984188,0.124626,5,31,0,45.8536,0.244319,-0.891041,-0.0855726,0.518629,-1.12181,1.80127,2.44357,-1.77942,-0.896129,-5.91512,5.17672,-3.08611
-45.5888,0.901246,0.124626,4,15,0,46.8784,0.397234,-1.22212,-0.100798,0.870479,-2.57616,1.9248,4.36801,0.983862,1.16699,-4.2205,7.98973,-0.0654139
-50.7348,0.618815,0.124626,4,23,0,52.9653,0.903192,-0.797918,-0.282008,0.755133,-4.76564,-1.60326,8.90446,0.996895,8.83016,24.1048,-5.67056,25.3217
-48.3666,0.984974,0.124626,5,39,0,54.6181,0.0479251,1.14195,0.245981,-1.6391,-6.50514,4.78652,4.96725,1.18787,-3.81802,-7.92689,10.6864,-10.5808
-46.0618,0.999348,0.124626,4,15,0,49.0766,-0.0545372,0.725399,0.105977,-0.964196,-2.00335,2.29343,12.8024,-1.29615,-4.80406,9.99152,8.1698,8.11248
-45.075,0.995595,0.124626,5,31,0,46.6336,0.686447,-0.074079,-0.0942977,-0.152989,-1.8211,1.23103,8.54307,-1.55166,5.82011,9.72936,-1.19762,9.18525
-44.8831,0.999849,0.124626,5,63,0,46.3793,0.636979,-0.0887043,-0.0188731,-0.383284,2.67342,-0.568622,-10.3711,0.884647,3.50916,-8.78781,1.32059,-8.99935
-44.4188,0.994305,0.124626,5,31,0,47.7404,0.106679,-0.318856,-0.132599,-0.117756,-3.70259,0.918471,-15.8947,-1.14614,-2.65497,-9.52658,-4.30348,-9.53386
-46.9658,0.980711,0.124626,5,31,0,48.5012,0.38358,0.984949,0.257339,-1.39657,2.87319,-2.53585,1.91075,-0.284109,0.470674,-0.854348,13.1492,-2.75692
-44.0896,0.989859,0.124626,5,31,0,47.9246,0.435664,-0.168353,-0.175717,-0.186104,-2.71517,-2.24378,-15.4314,1.35375,1.67391,-1.7505,-8.38208,-2.89662
-44.3634,0.978316,0.124626,5,31,0,45.2988,0.197503,0.486939,0.0692321,-0.784861,-2.11538,-0.414583,-8.03477,-0.808591,-1.1478,4.08443,5.60589,2.70697
-44.553,0.975529,0.124626,5,63,0,45.5066,0.405231,-0.78533,-0.234562,0.396613,4.39387,-1.17001,-1.07169,0.196126,0.712769,-5.87689,-6.95058,-5.01634
-45.6507,0.974033,0.124626,4,15,0,46.236,0.703445,-1.06323,-0.165177,0.730194,-1.6909,-0.900673,-3.48234,-1.06848,4.98829,-0.543489,2.59396,2.29055
-45.7702,0.939677,0.124626,5,63,0,48.7719,0.587314,0.556583,-0.031635,-1.02609,-6.2172,1.86165,7.7013,-1.49272,3.31243,-7.13051,-5.61023,-10.1481
-46.3044,0.959338,0.124626,2,3,0,46.6094,0.611349,0.71713,-0.013244,-0.90872,0.777346,0.599835,4.22588,0.486153,5.06396,14.1751,-2.07081,11.1413
-45.3496,0.977444,0.124626,5,31,0,47.4487,0.384598,-0.726687,-0.0404691,0.222304,-4.86074,-2.06083,-6.63968,0.527221,0.264498,-14.2989,5.39845,-12.039
-45.1751,0.997883,0.124626,5,31,0,45.6577,0.30237,0.414735,-0.0926082,-0.58162,-1.45219,0.338569,0.579376,-1.4204,0.642552,14.5277,-5.88029,12.0473
-46.5985,0.988647,0.124626,4,15,0,47.8007,0.55038,0.794308,-0.112549,-1.03428,-2.82601,0.977788,-3.60292,1.80266,3.91784,9.69716,-11.3103,5.35179
-45.6376,0.944681,0.124626,4,15,0,48.2015,0.454663,0.432487,0.0975306,-0.62123,-3.80076,-1.84125,8.76394,1.89883,2.84395,14.5075,10.567,13.8559
-45.6093,0.870004,0.124626,2,3,0,47.1573,0.409991,0.336125,0.102827,-0.859936,-2.02453,-1.45806,-0.867779,-2.29484,0.577326,-12.2345,5.26328,-13.068
-46.1922,0.98419,0.124626,5,31,0,47.2345,0.208401,0.246577,0.190618,-0.492577,2.51318,-0.853262,3.10334,-1.76366,-1.12508,9.5899,20.0087,10.6237
-46.183,1,0.124626,4,31,0,48.9023,0.381387,-0.296985,0.168211,-0.0333477,3.95643,-0.750413,-7.73303,2.79617,1.14508,1.80504,20.9555,4.74979
-46.183,0.593098,0.124626,2,3,0,49.8041,0.381387,-0.296985,0.168211,-0.0333477,-1.40779,2.30226,-6.34292,3.38574,1.14508,1.80504,20.9555,4.74979
-43.7787,0.932148,0.124626,4,15,0,47.1978,0.439826,-0.239308,-0.0159372,-0.082023,-0.574924,-1.7951,16.7306,-0.778982,2.04365,0.668377,5.2449,1.49733
-46.9661,0.881216,0.124626,5,31,0,48.1477,0.371515,1.08466,0.168826,-1.5697,-1.90601,2.26659,-3.08867,-0.204645,0.453172,-7.07972,3.92665,-10.343
-47.6515,0.995796,0.124626,4,15,0,49.142,-0.014541,0.870703,0.255007,-1.29736,1.66026,2.06213,7.89162,-0.155847,-4.69963,-3.45945,15.4588,-4.85545
-45.6315,0.867703,0.124626,4,15,0,49.3648,0.261271,0.598587,0.17265,-0.862234,5.50984,0.265815,-11.0963,2.77457,-0.370924,8.61969,14.1556,7.87065
-44.4459,0.980749,0.124626,5,31,0,46.429,0.489821,-0.390054,-0.219355,0.121151,-0.666354,-0.522964,-8.02585,2.61121,2.55441,4.65712,-8.99564,4.12953
-44.7554,0.947816,0.124626,4,31,0,46.7152,0.0899995,0.20063,-0.0841422,-0.646527,3.51819,-1.0396,-11.649,0.294963,-2.53543,-8.58416,-5.18633,-10.2364
-44.1108,0.988297,0.124626,4,15,0,45.0527,0.0435209,0.214302,-0.020274,-0.499533,-1.58446,1.84814,-3.84521,0.636335,-3.26018,3.72087,0.977081,2.70293
-44.2603,0.997459,0.124626,5,63,0,45.374,0.0577059,-0.590518,-0.0685408,0.238468,-3.97503,0.821273,6.50907,-0.34936,-3.26959,-4.05791,3.66589,-2.27102
-44.6647,0.997041,0.124626,4,15,0,44.9746,-0.00821743,-0.616904,-0.057862,0.336535,-1.54923,-0.828905,3.07794,0.185488,-4.13922,1.84945,5.78574,3.9967
-45.9161,0.81914,0.124626,5,31,0,47.801,0.0374617,0.362112,-0.101612,-0.494781,6.45014,1.41575,1.751,-0.285156,-3.31439,17.3666,-5.81193,15.125
-46.2162,0.991285,0.124626,5,31,0,48.0806,0.240996,0.827179,-0.0274173,-1.3016,3.29941,-0.996861,7.94156,-1.90317,-0.38789,-8.04735,-6.82023,-11.8311
-45.4205,0.969134,0.124626,5,63,0,48.3809,0.122786,-1.04394,-0.0685042,0.651543,2.49544,-2.41117,-13.0312,-0.378453,-2.43413,-7.90069,7.32425,-4.35817
-46.4457,0.969037,0.124626,5,31,0,48.573,0.236226,-1.07436,-0.364351,0.65724,-5.0922,-1.04583,-0.988116,2.29305,-1.9301,-8.04428,-13.8273,-7.10634
-45.228,0.972732,0.124626,5,31,0,48.0287,0.507927,0.137195,0.136874,-0.583074,0.941697,0.020631,-13.2977,2.36917,2.09294,-6.26365,10.9653,-5.79976
-46.019,0.827391,0.124626,2,3,0,46.8094,0.528024,0.120004,0.124477,-0.659393,-0.96123,-1.58591,3.60647,-0.933664,1.67473,-12.7884,8.20403,-12.5874
-45.9925,0.998982,0.124626,5,47,0,47.0873,0.0388927,-1.08258,-0.0381413,0.754832,0.42227,2.00666,-3.13044,1.13913,-3.34589,-2.61907,11.0406,1.51123
-47.238,0.663028,0.124626,5,31,0,50.9276,0.831015,0.506404,-0.117601,-0.95188,-4.33677,2.61517,8.62814,2.33847,6.09245,-3.76539,-10.3916,-7.42854
-46.479,0.927328,0.124626,5,31,0,49.9236,-0.102499,-0.605518,-0.0297591,0.445064,4.89337,2.88968,-8.96279,-1.20621,-5.5596,12.9034,10.3206,15.5556
-45.4285,1,0.124626,2,3,0,46.4772,-0.100856,-0.666015,-0.0218185,0.36859,0.522904,-1.34852,2.75095,-1.81809,-5.39209,0.656924,8.97471,3.28753
-45.0671,0.922423,0.124626,5,31,0,47.3421,0.672891,-0.505186,-0.215089,0.236188,6.22107,-0.267426,-5.99081,-1.70177,4.94917,5.39945,-6.80658,5.37842
-44.6924,0.995411,0.124626,4,15,0,45.2189,0.674501,-0.565456,-0.174538,0.202356,-1.00401,0.698746,5.46489,0.770583,4.44349,-1.94318,-3.83116,-1.48193
-44.3781,0.997617,0.124626,4,15,0,44.9817,0.647034,-0.457896,-0.0964583,0.115925,3.09582,-0.792798,-3.91053,0.0930104,4.48664,-0.372373,1.09344,0.490214
-47.0454,0.974633,0.124626,5,31,0,48.6041,-0.30154,0.523555,0.109233,-0.901006,2.76713,-2.1441,5.07358,0.992763,-8.02072,-1.6522,8.82033,-2.74598
-46.9227,0.941951,0.124626,5,31,0,51.8799,0.631998,0.265791,0.236385,-0.727187,10.8453,-1.21591,-6.72746,-0.71522,3.27148,-4.67922,16.5532,-3.80741
-46.5276,0.868913,0.124626,5,31,0,49.6251,-0.12535,0.530895,-0.0734473,-1.00713,-4.56663,-1.51175,-13.3791,-1.06275,-4.74245,-9.19366,-6.40072,-11.8207
-44.6831,0.904512,0.124626,3,15,0,48.4004,-0.011962,0.241509,-0.0641336,-0.64454,-4.36436,4.0229,-2.06655,-0.0266803,-3.82166,-5.47711,-3.70534,-7.04265
-44.5141,0.979782,0.124626,5,31,0,45.6661,0.228535,0.53225,-0.00316653,-0.932448,-4.3592,-1.00468,-4.74054,-0.63992,-0.72919,-4.09636,-2.1475,-6.47642
-43.6702,0.997063,0.124626,5,31,0,45.1465,0.415298,-0.340904,-0.128876,-0.0035754,-1.67872,-1.19928,-10.7275,-0.11116,1.45956,-1.77131,-3.10865,-1.70397
-45.5469,0.908815,0.124626,5,31,0,47.4736,0.532553,-1.0656,-0.310679,0.706827,-1.37881,0.213677,9.35771,2.3027,2.05708,-3.10693,-9.27707,-1.81701
-46.5556,0.973982,0.124626,4,31,0,48.3005,0.00720326,-1.02624,-0.00806887,0.765224,-4.26132,0.915662,6.02176,-1.77556,-3.71069,3.44438,14.4193,7.81652
-46.9251,0.987836,0.124626,4,31,0,48.9987,0.3532,0.698962,-0.201388,-0.942764,-3.78771,-2.24859,-1.54816,1.78477,1.1878,9.0198,-17.4025,4.36614
-47.1904,0.81955,0.124626,4,23,0,49.2308,0.410484,0.0516175,0.130066,-0.181752,0.597543,2.39394,-9.32785,-0.816087,2.28376,19.1986,19.0726,20.741
-44.4538,1,0.124626,3,15,0,49.0495,0.409933,0.0689585,0.0684433,-0.50956,0.225114,0.0430797,14.134,3.74751,1.02626,-7.37635,6.72651,-7.27248
-45.858,0.866823,0.124626,3,11,0,46.6569,0.360065,0.179563,0.0441199,-0.303926,3.04544,0.623698,6.26245,-0.340405,1.62948,18.9403,9.84058,18.9997
-44.0281,1,0.124626,2,3,0,45.6956,0.353564,0.120553,0.0510822,-0.406545,-0.804363,-1.55599,2.41674,-2.44729,1.04614,4.50219,7.79308,4.53403
