# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1099984735
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_null_soccr_study1_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,p_gamma.1,g_gamma.1
-30.4823,0.976498,0.800898,2,3,0,30.818,-0.377311,-2.7044,2.83775
-31.5574,0.920551,0.800898,3,7,0,31.6183,-1.20448,1.15232,-5.04285
-30.4156,0.998245,0.800898,3,7,0,31.4841,-0.401973,4.82487,2.57257
-30.1567,0.943409,0.800898,1,3,0,31.0334,-0.754016,4.3706,-1.04298
-30.4022,0.917784,0.800898,1,3,0,31.0336,-0.407243,-3.70902,2.51607
-30.2066,0.924937,0.800898,1,3,0,31.2168,-0.794339,-4.69133,-1.43263
-30.2048,1,0.800898,3,7,0,30.2163,-0.506559,-0.501073,1.46297
-30.4407,0.846008,0.800898,3,7,0,31.9447,-0.392396,-5.72412,2.6754
-30.5256,0.995542,0.800898,2,3,0,30.5545,-0.36247,-0.793481,2.99792
-30.1232,0.924082,0.800898,2,3,0,31.349,-0.583244,-5.16775,0.666885
-30.1015,1,0.800898,2,3,0,30.12,-0.646373,-0.635888,0.0241015
-31.7035,0.698659,0.800898,1,3,0,33.2836,-1.23282,5.86732,-5.26698
-30.1801,0.843554,0.800898,1,3,0,34,-0.524588,9.1226,1.27439
-30.1608,1,0.800898,1,1,0,30.181,-0.540853,0.66372,1.10499
-30.1467,0.99754,0.800898,2,3,0,30.1999,-0.554457,1.07635,0.963848
-30.2007,0.993073,0.800898,3,7,0,30.2431,-0.509401,-0.961331,1.43319
-30.485,0.971912,0.800898,3,7,0,30.5777,-0.376351,1.42052,2.84811
