# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1861130243
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_age_nointeraction_soccr_study2_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,p_gamma.1,p_z_beta.1,p_z_beta.2,g_gamma.1,g_z_beta.1,g_z_beta.2
-43.8112,0.982416,0.511291,2,3,0,45.7584,-0.0368601,-0.359534,0.012577,-6.28956,-8.60861,5.42326,-4.49286,-3.70524,8.0705
-43.3415,0.993555,0.511291,3,7,0,44.6452,0.467595,-0.349389,-0.209501,4.5869,10.0515,-0.986152,1.94182,-1.55476,-9.06974
-42.979,0.992266,0.511291,3,7,0,44.1198,0.134029,-0.343883,-0.0182498,-2.13672,9.90795,8.54914,-2.18612,-2.51928,5.64424
-43.2492,0.974829,0.511291,2,3,0,43.5619,0.165951,-0.365183,0.018971,-2.09768,-1.92414,4.93981,-1.79518,-3.93403,8.5583
-44.2215,0.98021,0.511291,3,7,0,44.363,0.197063,-0.320665,0.106539,-1.21842,-3.95807,0.417616,-1.27465,0.924172,16.4217
-45.4537,0.954777,0.511291,2,3,0,45.9554,0.117667,-0.36541,0.163945,-1.64518,-7.14771,4.48932,-2.44635,-1.92867,20.4246
-45.1402,0.98567,0.511291,2,3,0,46.1025,0.0886768,-0.334167,0.145778,1.06132,2.65172,-12.3619,-2.79263,0.265235,19.5312
-44.6884,0.996596,0.511291,3,7,0,47.0857,0.321232,-0.267434,0.124883,6.49701,9.82681,-8.32735,0.600927,6.13642,18.7478
-44.9784,0.998867,0.511291,3,7,0,45.4033,0.296454,-0.38781,-0.331994,-2.01418,-5.67483,4.19368,-0.536084,-3.73775,-17.572
-43.5936,1,0.511291,3,7,0,45.5881,0.359188,-0.37644,0.0588578,0.59265,12.2995,13.8952,0.706799,-3.74768,11.6971
-43.5267,0.99704,0.511291,3,7,0,44.3368,0.21642,-0.319131,-0.238569,1.20706,-11.0951,3.09291,-1.19852,0.125634,-11.9463
-42.8721,0.999011,0.511291,3,7,0,43.6804,0.283379,-0.357168,-0.164462,1.2476,-0.327309,11.4236,-0.346647,-3.22507,-5.96306
-44.9347,0.913806,0.511291,2,7,0,45.6262,-0.211124,-0.403907,-0.175512,-4.36303,-0.632144,2.57457,-6.59552,-6.98487,-6.57572
-45.1584,0.995197,0.511291,3,7,0,46.0677,-0.0533387,-0.42737,-0.269693,-5.02569,-2.11769,1.85626,-4.62425,-7.93176,-13.0336
-46.3334,0.967199,0.511291,3,7,0,48.0201,-0.17912,-0.335823,-0.325772,-2.01317,15.6984,-4.86352,-6.19584,-0.256729,-18.0825
-45.8318,1,0.511291,3,7,0,46.7159,-0.178293,-0.379303,-0.290228,1.59638,-6.40613,9.85888,-6.15203,-3.98436,-15.045
-44.0061,0.999775,0.511291,3,7,0,47.0464,0.130807,-0.237751,0.0622068,8.05392,2.27081,11.7097,-2.06122,7.49488,13.6628
-44.0183,0.88712,0.511291,3,7,0,48.6623,0.314231,-0.233561,-0.255429,-2.58845,27.2185,5.45672,0.26353,7.43006,-13.6537
-44.8836,0.972124,0.511291,3,7,0,45.8482,-0.00427854,-0.441751,0.0772242,4.60052,2.56613,5.92896,-4.05269,-9.4903,12.2876
-43.6116,0.997463,0.511291,3,7,0,45.6163,0.38218,-0.359276,-0.244588,-4.33232,-12.3133,9.24988,0.757988,-2.42091,-11.7342
