# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1235143119
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_full_soccr_study1_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-27.2166,0.965525,0.553188,2,3,0,27.2197,-0.883103,-0.286732,0.17059,0.257754,-1.37737,6.33223
-26.9591,0.991403,0.553188,2,5,0,27.5991,-0.972358,-0.378463,-0.673335,-6.64307,-1.51587,2.20866
-27.126,0.988245,0.553188,2,7,0,27.5329,-1.10714,-0.452502,-1.10481,-4.80045,-1.97092,-0.246897
-28.7648,0.891932,0.553188,3,7,0,28.856,-0.241752,-0.507367,0.469903,2.33315,5.12468,-8.18906
-28.8134,0.993188,0.553188,3,7,0,29.6309,-1.51546,-0.395948,-2.56425,4.91471,-5.44833,5.93617
-26.9124,0.999886,0.553188,3,7,0,29.3627,-0.643435,-0.386515,-0.611403,-13.2763,1.2979,-0.390278
-26.9079,0.998144,0.553188,2,3,0,26.9586,-0.646792,-0.385969,-0.816836,0.314751,1.26591,-0.34255
-26.9877,0.990884,0.553188,2,3,0,27.0424,-0.629741,-0.425026,-0.86095,-0.0209989,1.63508,-2.4629
-27.1921,0.867525,0.553188,3,7,0,29.0489,-1.09909,-0.505606,3.098,-9.13942,-1.43195,-2.7504
-27.4585,0.977577,0.553188,2,3,0,27.6783,-1.23758,-0.504028,1.65639,1.11997,-2.45859,-1.36804
-27.1957,0.999948,0.553188,3,7,0,27.6044,-1.0221,-0.528763,2.0489,2.68002,-0.655508,-4.4897
-27.4139,0.961988,0.553188,3,7,0,28.173,-0.472286,-0.442454,-3.06956,-2.1465,3.0373,-4.17143
-28.972,0.882697,0.553188,2,7,0,30.4459,-1.46521,-0.720791,-4.31437,2.69071,-1.68591,-7.88976
-28.9,0.970147,0.553188,2,3,0,29.9072,-1.45515,-0.713749,-1.02994,-8.22068,-1.70166,-7.73078
-28.6653,0.995719,0.553188,2,3,0,29.1306,-1.39638,-0.695622,1.17058,5.14719,-1.52896,-7.67936
-28.2548,0.974919,0.553188,3,7,0,30.1466,-0.608574,-0.160727,4.1738,6.63738,0.636176,12.3194
-27.1363,0.900119,0.553188,2,3,0,29.704,-0.657581,-0.285921,-0.588698,-13.5997,0.642756,5.17222
-27.0282,0.990773,0.553188,2,3,0,27.3913,-0.57154,-0.357215,-1.15515,-4.38681,1.77222,0.796562
-26.9935,0.999408,0.553188,3,7,0,27.116,-0.643273,-0.323728,-1.14375,1.37424,0.960316,2.99291
-33.0154,0.662387,0.553188,2,7,0,35.301,-1.90906,-1.03812,5.19413,4.6222,-0.570818,-13.9858
-28.8859,1,0.553188,3,7,0,33.1333,-1.61722,-0.509593,-5.2805,-12.6188,-5.03283,2.25886
-28.3868,0.940778,0.553188,2,7,0,31.5056,-0.988519,-0.185124,6.15853,4.81317,-2.81846,12.2887
-27.3089,1,0.553188,2,3,0,28.5593,-0.647679,-0.257914,-2.39128,7.76226,0.606982,6.72015
-27.8249,0.964272,0.553188,2,7,0,28.2697,-1.11972,-0.622882,-1.66027,-4.18949,-0.464766,-7.63072
-26.8327,0.829907,0.553188,3,7,0,30.5764,-0.747054,-0.410114,-1.69142,16.0311,0.56535,-0.97736
-26.9183,0.995218,0.553188,2,7,0,27.001,-0.959517,-0.452316,1.03311,0.532324,-0.835502,-1.49076
-27.3316,0.87304,0.553188,1,3,0,30.4258,-0.506865,-0.28756,4.97134,9.61018,2.06014,4.42534
-27.3077,1,0.553188,1,1,0,27.365,-0.501831,-0.295822,0.530258,1.62983,2.13991,3.92837
-27.0888,0.998962,0.553188,2,3,0,27.4087,-0.702614,-0.291221,1.68121,2.84436,0.256198,5.0973
-27.5058,0.950796,0.553188,3,7,0,28.0658,-1.25798,-0.499963,0.0174374,-6.38315,-2.64543,-0.990003
-27.9932,0.916354,0.553188,2,7,0,29.1683,-1.2699,-0.336573,-1.0097,-8.94525,-4.1784,6.50466
-28.0499,0.982109,0.553188,3,7,0,28.9831,-0.891731,-0.638383,-3.44782,2.00846,1.20556,-10.314
-28.4114,0.988587,0.553188,2,7,0,29.1559,-1.15111,-0.688552,-3.16683,-0.542302,-0.030376,-9.96686
-27.9146,0.995207,0.553188,3,7,0,28.6679,-1.05053,-0.635248,0.424271,7.3374,0.118545,-8.7961
-27.9935,0.996069,0.553188,2,7,0,28.7338,-0.62518,-0.182242,1.69998,6.19152,0.536671,11.0737
-28.2789,0.947916,0.553188,3,7,0,29.4341,-0.842407,-0.653051,2.35892,7.35917,1.64752,-11.2987
-27.9194,0.983361,0.553188,3,7,0,28.96,-1.37457,-0.452481,1.89159,-7.51564,-3.94192,2.22135
-28.0041,0.999657,0.553188,3,7,0,28.073,-1.40221,-0.464658,0.773673,-1.34295,-4.02049,1.96031
-27.7487,1,0.553188,1,1,0,27.9857,-1.33851,-0.47752,-1.73205,1.062,-3.44298,0.781541
-26.8853,0.999157,0.553188,3,7,0,28.0095,-0.67445,-0.401461,-1.15298,-8.63981,1.12028,-0.989059
-27.4435,0.947008,0.553188,2,7,0,27.7971,-1.01939,-0.573999,-1.9733,2.1928,-0.229121,-6.50504
-27.7498,0.966084,0.553188,2,7,0,28.1051,-1.2843,-0.393952,-0.0928407,-5.08022,-3.8179,3.99977
-28.0139,0.981591,0.553188,2,3,0,28.4871,-1.41069,-0.478727,1.65903,-4.43207,-3.94207,1.43902
