# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1099984735
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_null_soccr_study1_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,p_gamma.1,g_gamma.1
-30.7877,0.943791,0.693099,2,3,0,30.8566,-0.285705,1.09369,3.83273
-30.7464,1,0.693099,1,1,0,30.8632,-0.296669,1.42399,3.7129
-30.5079,1,0.693099,1,1,0,30.7193,-0.368428,-1.91521,2.93357
-30.7156,0.96933,0.693099,1,1,0,30.7278,-0.305064,0.461494,3.62127
-30.1979,0.897997,0.693099,1,3,0,31.9876,-0.788172,5.5736,-1.37341
-30.1018,0.995784,0.693099,1,3,0,30.2621,-0.657371,1.66794,-0.086643
-30.1018,0.739904,0.693099,1,3,0,32.9194,-0.657371,-6.99347,-0.086643
-31.0432,0.85618,0.693099,3,7,0,32.0064,-1.0924,4.08883,-4.12348
-31.3602,0.988064,0.693099,2,3,0,31.3915,-1.16408,-0.737251,-4.71752
-32.0181,0.930254,0.693099,1,1,0,32.0273,-1.29013,-0.400354,-5.70989
-31.6539,1,0.693099,1,1,0,32.0541,-1.22334,2.63578,-5.1924
-30.1892,0.998929,0.693099,3,7,0,31.4836,-0.781675,4.74005,-1.31087
-30.1191,0.99976,0.693099,3,7,0,30.1972,-0.589712,-1.16375,0.60049
-30.2093,0.965711,0.693099,1,3,0,30.4592,-0.796195,-2.08297,-1.45043
-30.1015,0.992819,0.693099,2,5,0,30.3043,-0.645414,-1.8764,0.0337825
-30.6003,0.903716,0.693099,1,3,0,31.1173,-0.969131,2.99574,-3.0527
-30.187,0.913047,0.693099,1,3,0,31.7281,-0.519295,-5.17213,1.32966
-30.2659,0.98861,0.693099,1,1,0,30.2659,-0.469676,-0.0202405,1.85134
-30.1023,0.987722,0.693099,1,3,0,30.4225,-0.661503,2.35768,-0.128149
-30.2493,0.986035,0.693099,2,3,0,30.2493,-0.821652,-0.0209661,-1.69329
-30.1093,0.981199,0.693099,1,3,0,30.4748,-0.609471,-2.5189,0.398399
-30.2433,0.983232,0.693099,3,7,0,30.3199,-0.818075,1.15346,-1.6593
-31.6112,0.886735,0.693099,3,7,0,32.0388,-0.113471,2.72423,5.735
-31.427,1,0.693099,1,1,0,31.7252,-0.146658,-2.27521,5.36619
-31.3642,1,0.693099,1,1,0,31.5861,-0.158507,1.96247,5.2347
-30.1091,0.952776,0.693099,2,3,0,32.0401,-0.609973,5.78962,0.393282
-30.1446,0.997269,0.693099,3,7,0,30.1504,-0.556622,-0.315351,0.941433
-30.1378,0.970138,0.693099,3,7,0,30.5094,-0.734097,-2.53957,-0.848416
-30.1809,0.971853,0.693099,1,3,0,30.4564,-0.524013,-2.18699,1.28039
-30.1895,0.996376,0.693099,3,7,0,30.2554,-0.517401,-1.0689,1.34946
-30.6195,0.959604,0.693099,2,3,0,30.6947,-0.332745,1.1425,3.31996
-30.2273,0.888093,0.693099,1,3,0,31.9139,-0.808141,-5.41074,-1.56468
-30.1071,1,0.693099,2,3,0,30.2133,-0.682153,-1.35798,-0.334787
-30.7738,0.870978,0.693099,1,3,0,31.5222,-0.289357,-3.60427,3.7928
-30.7512,1,0.693099,1,1,0,30.8589,-0.295363,1.36686,3.72716
-30.7196,0.969027,0.693099,2,3,0,31.2904,-0.303946,3.14765,3.63346
-30.5764,1,0.693099,1,1,0,30.729,-0.346005,-1.62734,3.17611
-30.3884,1,0.693099,1,1,0,30.5525,-0.412785,1.68761,2.45671
-30.5414,0.977496,0.693099,1,1,0,30.549,-0.357246,-0.363027,3.0544
-30.104,0.963338,0.693099,2,5,0,30.9587,-0.671041,3.85186,-0.223765
-30.2106,0.991494,0.693099,3,7,0,30.2167,-0.797111,-0.326309,-1.45921
-30.203,1,0.693099,1,1,0,30.2207,-0.791792,-0.554613,-1.40819
-30.2451,0.994447,0.693099,1,1,0,30.2483,-0.819138,-0.236104,-1.6694
-30.8508,0.948518,0.693099,2,3,0,30.9238,-1.04324,1.12628,-3.70381
-30.1132,1,0.693099,2,3,0,30.7531,-0.697116,-3.33279,-0.483655
-30.1538,0.983441,0.693099,1,3,0,30.2861,-0.547369,-1.51568,1.03733
-30.3159,0.926658,0.693099,1,3,0,30.8979,-0.8574,-3.17865,-2.03034
-30.6454,0.97433,0.693099,3,7,0,30.7778,-0.983616,1.51569,-3.18168
-30.1922,1,0.693099,3,7,0,30.6185,-0.515465,-2.72032,1.36971
-30.2198,0.996008,0.693099,1,1,0,30.2252,-0.49668,0.30769,1.56667
-30.171,0.957912,0.693099,1,3,0,30.6827,-0.76702,-2.98004,-1.16926
-30.6234,0.901364,0.693099,2,3,0,31.2219,-0.976634,3.223,-3.11961
