# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=133243476
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_interaction_soccr_study1_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3
-29.0715,0.999862,0.152035,4,15,0,37.1856,-1.02071,-0.767991,-0.510453,0.186206,8.55801,2.40481,-3.94099,1.1367,-0.0487636,-0.668288,-9.31384,-0.754597
-28.8809,0.747668,0.152035,5,31,0,32.6099,-1.29908,0.0232132,-0.102772,-0.452545,1.20094,3.28547,5.74957,2.30889,-3.60955,4.12854,4.30246,3.32054
-29.836,0.835203,0.152035,3,7,0,30.5194,-1.30256,-0.00947166,-0.106097,-0.271619,0.816361,0.614084,-2.45212,1.53616,-4.76127,10.5681,3.25992,9.88599
-28.7878,0.917203,0.152035,2,3,0,31.0565,-1.24774,-0.078801,-0.135254,-0.560416,1.46768,-1.66473,-2.88926,-2.69406,-1.26599,-4.94021,4.85335,-5.65192
-29.9778,0.918336,0.152035,4,31,0,30.2348,-1.33269,0.0426219,-0.139804,-0.320037,-0.915765,-0.186036,-0.840716,0.918001,-4.92389,11.3117,1.65553,10.4151
-30.1524,0.975514,0.152035,5,31,0,31.4231,-0.464497,-0.207255,-0.125473,0.078594,-1.66672,1.35941,6.59066,0.354483,2.08444,15.1439,0.610328,14.7938
-29.2264,0.940591,0.152035,4,15,0,31.7337,-0.617013,-0.714211,-0.340296,0.0285997,3.49574,-1.23695,3.37079,-2.20994,3.01776,-9.56054,-1.48861,-9.4666
-29.9231,0.983749,0.152035,4,31,0,30.2025,-0.629872,-0.282421,-0.380134,0.0481137,0.750784,-0.701521,-0.257844,0.827219,1.41809,12.6223,-11.3515,11.3616
-31.2073,0.988796,0.152035,4,15,0,33.1908,-0.186875,0.0520938,-0.396874,-0.454668,-1.22484,-2.96118,-1.9999,-0.760841,5.81231,4.79,-12.1587,2.38957
-31.4842,0.839622,0.152035,4,31,0,35.5402,-1.63273,-0.0512267,-0.426937,-0.905128,-5.98936,-1.28308,5.83357,-0.453019,-0.718739,-8.57735,-2.53989,-9.79453
-30.0475,0.988074,0.152035,4,31,0,32.2952,-1.7202,-0.0674801,-0.208764,-0.658772,1.99868,1.24363,5.23195,2.46329,-3.43733,-2.59288,2.61868,-3.38051
-29.7493,0.867809,0.152035,3,7,0,31.4126,-1.61891,-0.0724109,-0.240415,-0.672962,1.6079,1.76758,-3.05418,1.88547,-2.60857,-4.05515,1.64086,-4.89833
-29.1626,0.996901,0.152035,3,7,0,29.842,-1.53378,-0.0376754,-0.230777,-0.511133,-1.78794,-0.445521,-0.461044,-1.34287,-4.01901,2.4115,0.304409,1.51775
