# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1238074989
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_age_nointeraction_soccr_study1_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,p_gamma.1,p_z_beta.1,p_z_beta.2,g_gamma.1,g_z_beta.1,g_z_beta.2
-28.492,0.974821,0.559807,3,7,0,32.4555,-1.61225,-0.702042,-0.327782,0.119995,13.7209,9.9082,-3.12232,-2.99057,-0.837231
-28.297,0.97107,0.559807,2,7,0,30.1047,-0.448396,-0.379473,-0.387075,3.65638,4.70782,5.86741,3.31753,4.90892,-10.0406
-30.6913,0.867275,0.559807,2,7,0,32.5521,-0.633814,-0.6402,-0.655392,-3.08087,-8.93483,-0.348205,3.15494,-0.958093,-14.8775
-28.4523,0.820924,0.559807,2,3,0,34.0045,-0.469709,-0.477124,-0.438024,3.36551,-0.43803,-18.6991,3.47463,1.16857,-10.341
-28.4104,0.983153,0.559807,3,7,0,29.9489,-1.0136,-0.421775,0.047234,1.37479,-5.71999,-8.34925,-1.43909,0.1118,12.2391
-30.171,0.97283,0.559807,3,7,0,30.6543,-1.09215,-0.698993,-0.672814,-2.202,-2.69874,0.622838,0.567804,-1.48245,-13.1619
-29.629,0.952854,0.559807,3,7,0,31.3603,-0.839984,-0.421756,0.139163,1.26594,1.27423,10.8887,0.107457,-1.56006,16.804
-28.3567,0.966957,0.559807,2,7,0,31.6341,-1.53724,-0.468515,-0.214936,-1.32646,4.72117,14.5461,-4.90554,4.50045,1.24861
-28.1237,0.945262,0.559807,3,7,0,30.4361,-1.5417,-0.629307,-0.329929,4.57315,-6.7279,-2.0316,-3.35227,-0.895315,-1.63286
-27.413,0.99672,0.559807,2,7,0,28.2378,-1.18405,-0.648903,-0.242174,-2.98965,-1.94083,-2.43729,-0.909399,-5.79222,1.68759
-28.0073,0.979923,0.559807,2,3,0,28.19,-1.27038,-0.727912,-0.254122,-0.782535,-2.78472,-1.39676,-0.760721,-7.95792,2.13675
-27.1489,0.998703,0.559807,3,7,0,28.5417,-1.01709,-0.36278,-0.133399,-2.69195,-7.66411,0.579096,-2.01411,4.49302,3.15385
-26.7375,0.999401,0.559807,2,7,0,27.2214,-0.892826,-0.517418,-0.257454,-1.34921,3.83086,3.19392,0.126151,-2.1885,-0.81442
-27.9207,0.92313,0.559807,2,3,0,28.1376,-1.18834,-0.533858,-0.461437,-1.06236,-1.19473,-2.86073,-1.44197,1.90873,-8.306
-28.3382,0.981992,0.559807,3,7,0,29.2243,-0.968853,-0.505292,0.0309756,3.33106,1.32012,0.398786,-0.423221,-4.08139,12.0432
-28.1882,0.881709,0.559807,3,7,0,31.3335,-0.985177,-0.618391,-0.0496568,-1.01003,6.5856,-13.5564,0.341786,-8.3441,9.35932
-26.8606,0.964791,0.559807,2,3,0,28.915,-1.05254,-0.517329,-0.192284,0.273501,-8.02063,9.24839,-1.09774,-1.89907,2.16955
-27.068,0.980709,0.559807,3,7,0,27.317,-0.539088,-0.450257,-0.247207,0.385639,3.89331,-1.34248,2.53363,-1.01326,-1.77175
-27.1887,0.926026,0.559807,2,3,0,28.1342,-0.628529,-0.405806,-0.317596,2.8361,1.62121,-4.62204,1.73453,2.82064,-5.87322
-28.3561,0.742966,0.559807,2,3,0,30.2961,-1.22216,-0.343512,-0.374614,-0.731543,-8.81695,7.7568,-2.99991,9.18691,-7.19801
-26.749,0.978345,0.559807,3,7,0,28.8416,-0.828688,-0.493402,-0.278808,2.52447,-7.77727,7.4787,0.486641,-1.14415,-2.22111
-26.7881,0.99019,0.559807,3,7,0,26.9254,-0.933878,-0.429734,-0.154297,-0.117627,2.9069,-1.13513,-0.866324,0.856613,2.82046
-27.8398,0.829505,0.559807,2,3,0,28.6976,-0.780968,-0.53122,-0.0336505,1.45194,-4.66787,5.38622,1.11164,-6.32427,9.56823
-28.4097,0.960761,0.559807,3,7,0,29.7243,-0.536854,-0.510577,-0.457359,-1.15092,8.78198,3.07197,3.08787,0.182573,-10.3404
-30.0666,0.896089,0.559807,3,7,0,31.2311,-1.01167,-0.469813,0.155326,1.04698,8.57131,-1.84049,-0.811322,-2.54541,17.2183
-28.7486,1,0.559807,2,3,0,30.1957,-0.900981,-0.50551,0.0637035,-1.23866,0.916716,9.92565,0.134421,-4.81519,13.5807
-29.0726,0.983242,0.559807,2,3,0,29.3464,-0.838575,-0.56191,0.0586231,0.431033,-1.39228,-4.16777,1.03083,-7.80849,13.6768
-28.1658,0.991652,0.559807,2,7,0,29.7116,-1.04644,-0.363545,0.0108183,-0.457052,6.22872,-8.57866,-2.21427,3.42691,10.1035
-28.5887,0.964198,0.559807,3,7,0,29.7168,-1.04757,-0.222878,-0.0675293,0.868446,5.80584,-6.67358,-3.14935,11.1387,5.13238
-28.9571,0.941228,0.559807,3,7,0,30.9324,-1.59039,-0.509909,-0.43317,2.26457,-6.32338,-8.71601,-4.30092,4.94777,-6.09791
