# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=133243476
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_interaction_soccr_study1_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3
-34.8924,0.919655,0.139662,5,31,0,37.5225,-1.14433,-2.79863,-0.241904,2.0565,4.3984,1.8368,4.2857,-0.6277,0.148633,-12.7445,5.65744,-7.63316
-33.5382,1,0.139662,2,3,0,35.0398,-1.12401,-2.67972,-0.237258,2.10084,-0.980801,-2.38931,-0.957442,-0.818706,-1.13734,-6.64167,4.91101,-1.57213
-31.7056,0.99325,0.139662,3,11,0,34.1233,-0.959345,-2.22919,-0.291341,1.89194,2.22232,2.23461,-4.58316,-1.69908,-1.76985,3.47671,1.4261,7.701
-32.3379,0.999052,0.139662,4,15,0,33.5464,-0.978149,-2.4793,-0.252501,2.01172,0.226887,1.97037,-4.97344,-0.362976,-1.0385,-2.81468,3.95133,1.94626
-30.3678,0.9913,0.139662,5,31,0,32.9583,-0.851699,1.02516,-0.189476,-1.51119,0.166442,-0.83337,-12.0525,1.60443,0.919566,2.07073,-2.88955,-1.63589
-30.6971,0.983264,0.139662,5,31,0,31.6222,-1.04104,1.13803,-0.157502,-1.62756,-2.71392,-0.379542,3.4825,-0.801364,-0.571806,2.95652,-1.12905,-0.814139
-29.1336,0.987446,0.139662,5,47,0,34.0661,-0.876601,-1.1033,-0.490393,0.652569,-0.0844034,-3.33917,0.858426,3.31268,0.0618697,2.60111,-9.62663,3.27596
-29.7138,0.916772,0.139662,5,63,0,32.0155,-1.11615,-0.0920817,-0.37307,-0.699427,1.15665,-2.07111,-8.75021,1.08977,0.873882,-8.18986,-2.73306,-9.41787
-29.8935,0.951375,0.139662,5,31,0,31.6701,-0.701727,-1.05428,-0.347639,0.299056,-0.344773,2.04201,-7.33801,-0.835339,2.70716,-12.322,0.21471,-11.3844
-29.628,0.993704,0.139662,4,19,0,30.4853,-0.716782,-0.690985,-0.365965,-0.0587042,0.699152,-0.00469493,-1.88359,1.85733,2.73198,-10.8159,-1.5521,-10.7915
-28.3764,0.995197,0.139662,3,7,0,29.9121,-0.840552,-0.700728,-0.423225,0.162758,1.26875,2.17486,-0.0782979,1.26786,0.791147,-1.09636,-7.19532,-1.2069
-28.2938,0.987655,0.139662,5,31,0,29.2759,-1.09289,-0.988847,-0.360934,0.403512,-1.95701,-1.07968,5.37054,0.454972,-0.897267,-3.26718,-2.89676,-2.36212
-27.9653,0.982763,0.139662,5,31,0,29.1464,-0.743611,0.0501037,-0.159279,-0.482861,0.000673409,-0.511245,8.45723,-0.964637,0.864278,0.664366,0.924038,-0.546877
-28.7389,0.982999,0.139662,5,31,0,29.2412,-0.780328,-0.0222373,-0.379207,-0.425062,-1.03947,-0.468079,-4.45247,0.710472,1.10436,3.73215,-9.05801,1.97538
-28.5356,0.840934,0.139662,4,31,0,31.3022,-0.74385,0.371899,-0.199166,-0.797155,-0.376044,-1.4793,9.78117,-2.16281,1.04718,2.54826,-2.30789,0.377353
-28.8708,0.976104,0.139662,5,31,0,30.0712,-0.757898,-1.44756,-0.181642,0.981711,1.58916,0.624421,4.41052,-1.71888,0.644552,-3.51745,4.77504,-1.05993
-31.1854,0.894294,0.139662,4,15,0,32.2065,-1.39061,-1.48732,-0.169057,1.17021,0.150204,-0.977842,5.70073,1.32344,-5.21084,7.54893,4.48915,10.2593
-29.6228,0.995321,0.139662,5,31,0,32.4335,-0.812021,0.179333,-0.29797,-0.885244,4.12422,0.914769,-3.08532,-2.24795,2.32336,-7.74599,-1.858,-9.61271
-29.721,0.966035,0.139662,5,31,0,30.6927,-0.956124,-0.144348,-0.00887214,-0.503264,-0.405418,-0.0493641,0.213943,2.06772,0.848177,-9.35061,10.3962,-9.73792
