# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=133243476
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_interaction_soccr_study1_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3
-28.188,0.989294,0.13016,4,27,0,29.0431,-0.738571,-0.511128,-0.278967,-0.0893501,0.76746,-1.36382,-2.37578,1.25112,1.80801,-6.25644,-0.761827,-6.4353
-30.2545,0.980616,0.13016,3,15,0,32.7651,-0.132268,-0.499268,-0.03553,0.141711,-3.05949,1.52322,-8.19245,0.93753,5.76516,-0.494693,8.85861,0.146606
-27.8834,0.998234,0.13016,4,15,0,31.4489,-0.893257,-0.216303,-0.106027,-0.219574,-5.74557,0.364309,-5.32113,-1.32369,-0.468993,0.156904,4.57296,-0.172985
-28.7469,0.936974,0.13016,5,31,0,29.4848,-0.533016,-0.248013,-0.209148,0.0032536,1.52623,0.375785,5.63327,-0.236773,1.81775,9.50325,-3.0449,8.81781
-29.2002,0.999967,0.13016,5,63,0,29.9901,-0.956944,0.254775,-0.242556,-0.932431,2.64154,-0.220883,-1.575,0.890466,1.17027,-6.5863,-0.0187362,-8.41586
-28.8184,0.999425,0.13016,6,63,0,29.6113,-1.0178,0.285448,-0.103707,-0.612389,-0.275815,-1.72553,-3.01675,0.260847,-2.11924,7.30534,2.31531,5.79641
-29.8069,0.999741,0.13016,4,15,0,30.0784,-1.13228,0.663768,-0.197944,-1.31143,0.505103,-0.578328,-2.58685,-0.595644,-0.120708,-3.74572,0.612704,-6.36747
-29.831,0.98736,0.13016,3,7,0,30.5078,-1.15365,0.781186,-0.24685,-1.33207,0.28371,-1.17082,3.69786,-0.888782,-0.929351,1.52598,-3.19423,-1.5366
-29.3543,0.998241,0.13016,5,31,0,32.046,-1.505,-0.598609,-0.446075,-0.0457094,-0.454307,2.32888,-0.6469,-2.71141,-2.78107,-0.461365,-5.5697,-0.507651
-28.112,0.99753,0.13016,4,31,0,32.2399,-0.965802,0.0640572,-0.270806,-0.572226,4.67147,1.76188,8.79859,-1.4602,-0.193461,0.409978,-3.14676,-1.07247
-27.8554,0.998707,0.13016,5,47,0,29.1935,-1.07499,-0.464248,-0.307228,-0.0252525,0.488261,1.80656,0.190162,-1.74259,-1.3204,1.04292,-3.19037,0.80821
-28.4077,0.971579,0.13016,5,31,0,29.1015,-0.487459,-0.296977,-0.0960443,-0.144315,-1.94175,0.637085,2.30162,1.01324,2.89248,-2.8023,5.29332,-2.99021
-27.9656,0.992173,0.13016,5,31,0,29.0471,-0.666529,-0.786127,-0.268365,0.426952,2.44012,0.453749,4.46336,-1.05351,0.939845,3.45767,-2.53022,3.99134
-27.9275,0.99707,0.13016,4,31,0,29.3179,-0.710502,-0.283314,-0.138816,-0.052694,-0.808164,1.8392,4.50346,-1.2046,0.44284,4.23582,2.09691,3.96386
-29.0308,0.96167,0.13016,5,31,0,29.8091,-0.717887,0.464821,-0.133558,-0.763921,-2.24346,-0.669683,-3.30286,-0.677022,0.465124,7.95498,-0.850681,5.74889
-28.709,0.99606,0.13016,5,31,0,30.079,-0.62865,-0.0444512,-0.0558818,-0.226386,-1.72216,-0.593362,-5.4036,1.68263,0.857246,6.83724,5.13214,6.27749
-27.984,0.999523,0.13016,3,15,0,29.7507,-0.734616,-0.242703,-0.155682,-0.280989,1.86142,1.13062,8.71098,0.159674,1.41204,-4.36358,3.10149,-4.84242
-28.3295,0.999543,0.13016,5,31,0,28.3847,-0.72486,-0.334396,-0.0689501,-0.169623,-0.29127,-0.26935,0.584947,0.363963,1.33534,-4.83905,7.28331,-4.84056
-28.7753,0.992552,0.13016,5,31,0,29.5992,-1.3647,-0.513098,-0.31032,-0.18876,0.981637,-0.368178,-6.67468,-0.192819,-1.563,-5.04215,-0.612181,-5.05963
-27.6919,0.990653,0.13016,3,11,0,29.3493,-0.897346,-0.395488,-0.281097,-0.104295,-3.759,1.0198,-2.57377,0.89675,0.054436,-0.727129,-2.44764,-1.1353
-28.7326,0.943498,0.13016,5,31,0,29.4956,-0.985127,-1.10967,-0.107659,0.715526,-0.706997,1.73279,1.35665,0.534957,-1.57674,1.32518,6.64174,3.22227
-29.3344,0.955558,0.13016,5,31,0,30.2454,-0.645303,-1.51403,-0.223778,0.951298,1.21254,0.62865,-6.6367,0.175321,2.01201,-8.16449,4.02202,-5.75319
-29.68,0.990559,0.13016,4,15,0,30.5117,-0.726085,-1.52609,-0.108742,1.02288,-1.20072,1.76902,-1.64179,0.21902,1.2873,-6.14146,8.62592,-3.33347
-28.8145,0.954833,0.13016,4,15,0,30.5982,-0.661829,-1.46403,-0.327308,0.965379,-0.624299,2.0877,-7.20158,0.198584,1.4478,-3.79933,-1.39401,-1.77289
-30.6124,0.945689,0.13016,5,31,0,32.0346,-1.15048,0.928095,-0.119068,-1.25686,-3.77077,-0.237815,-3.85131,-0.0754688,-2.86427,9.91382,-0.181451,6.79249
-29.0615,1,0.13016,5,31,0,30.8428,-1.03978,0.0850103,-0.0972212,-0.727801,1.65183,-2.14924,-2.86405,1.47602,0.234032,-7.12157,6.2458,-8.18396
-29.5816,0.976093,0.13016,4,15,0,30.9809,-0.785502,0.293862,0.0618681,-0.632473,2.32051,-1.44443,2.98451,-1.34205,-0.177076,3.42187,10.7809,2.37815
-29.2984,0.984345,0.13016,5,31,0,30.3053,-0.80864,0.424599,-0.321465,-0.834071,-1.18583,-1.29452,-5.62554,0.408444,0.803091,5.91172,-8.44946,3.21536
-32.2282,0.996839,0.13016,4,15,0,32.7492,-0.625028,1.07966,-0.347426,-1.50618,-0.189775,1.05659,3.52759,-0.639642,2.87372,6.8569,-12.0169,2.32179
-30.8796,0.975656,0.13016,5,31,0,34.6118,-1.63088,-0.298691,-0.0339086,-0.455293,-2.62771,1.88207,2.98472,-3.3117,-2.41824,-6.4071,9.55798,-6.54179
-32.391,1,0.13016,5,31,0,34.7063,-2.01821,-1.01008,-0.518319,0.420904,3.5577,-0.772422,-8.24934,0.55323,-6.05021,4.61072,-5.60844,5.57236
-30.4736,0.994207,0.13016,4,15,0,33.486,-1.56195,-0.70979,-0.490088,-0.147702,4.71528,2.05841,3.16187,-0.776912,-1.3981,-6.72035,-4.49724,-6.56705
-31.2559,0.988927,0.13016,5,31,0,32.9504,-1.54994,-1.57894,-0.495083,0.755389,2.22381,-2.15424,3.52349,0.729891,-1.86107,-7.54162,-3.56707,-5.43381
-31.9528,0.974052,0.13016,5,31,0,32.8992,-1.41,-1.26293,-0.620403,0.8705,-2.10188,-1.36854,3.38942,-0.143909,-3.32639,7.90121,-11.8394,8.872
-31.2261,0.967987,0.13016,2,7,0,33.1925,-1.41853,-1.40182,-0.637659,0.806651,0.23945,2.58084,3.50194,1.32157,-2.42105,0.781673,-10.2839,2.12901
-28.904,0.998369,0.13016,5,31,0,33.3461,-0.910356,0.473416,-0.0553751,-0.873179,-5.02305,1.28694,-10.5197,-1.10268,-0.722631,2.88356,4.72111,1.00643
-29.5119,0.946522,0.13016,5,31,0,31.1625,-1.5249,-0.160044,-0.207957,-0.265618,1.0546,-1.03535,-7.70468,1.3704,-5.11917,6.65592,0.648072,6.10761
-28.3792,0.969712,0.13016,4,17,0,30.7723,-1.00612,-0.171134,-0.26105,-0.156043,-4.46149,-0.954519,2.27119,-1.51588,-1.79834,8.02791,-3.85758,7.14872
-29.3309,0.985761,0.13016,3,15,0,30.197,-1.31146,-0.214426,-0.162133,-0.522195,-2.38921,0.75031,4.06295,-0.260013,-0.751467,-7.98762,4.89197,-8.45697
-31.257,0.996914,0.13016,4,31,0,33.2946,-0.354117,-1.10754,-0.0422766,0.929321,3.1135,-1.80663,-4.72316,0.969261,3.33735,9.83836,10.6416,12.4332
-31.7407,0.999377,0.13016,5,31,0,33.1931,-1.45557,-0.868574,-0.646503,0.414835,0.52151,-1.37031,2.2276,2.14634,-2.95347,7.3547,-13.1357,7.32848
-31.1197,0.991769,0.13016,3,7,0,32.0455,-1.45092,-0.992704,-0.648926,0.221746,0.344906,-1.07751,1.11328,-1.77262,-1.32831,-3.33903,-9.73851,-2.93511
-30.5291,0.984986,0.13016,5,31,0,32.0563,-0.582534,0.266478,0.125598,-0.663386,-3.18626,0.599803,-3.08174,1.49377,1.90423,-1.19003,14.3764,-2.01237
-30.5151,0.970199,0.13016,5,31,0,32.8286,-0.952762,-1.31965,-0.612714,0.823425,2.64122,1.05147,5.19508,-2.27782,-0.0043822,2.32352,-12.5427,3.20943
-30.7628,0.940411,0.13016,5,31,0,31.7426,-1.01696,-1.28366,-0.589916,0.50088,0.626414,0.0864645,-4.90872,1.6477,0.881858,-7.69008,-7.6768,-6.66775
-29.704,0.97215,0.13016,5,31,0,33.0677,-0.605161,-1.61427,-0.261425,1.02482,0.78526,0.829613,-12.9522,1.55563,2.3693,-9.18357,3.00687,-6.6533
-29.2194,0.998492,0.13016,2,7,0,29.8739,-0.607421,-1.59842,-0.260213,1.10596,0.225667,-0.611928,-0.161125,-1.65939,1.85086,-4.96601,2.02275,-2.39834
-31.4874,0.998539,0.13016,4,31,0,33.2284,-0.334752,-2.11068,-0.379111,1.69388,1.58026,-2.10637,-5.22356,0.893598,3.58643,-1.55809,-2.20498,1.92504
-29.5566,0.985004,0.13016,5,31,0,32.7005,-0.524091,-1.51431,-0.151507,1.06614,-2.69959,1.77457,4.73376,-2.7097,2.48692,-4.33244,6.74888,-1.57804
-29.3023,0.955256,0.13016,5,31,0,31.5096,-1.22454,-0.323026,-0.419642,-0.42943,-0.450972,-1.61048,6.48157,2.16966,-0.160821,-5.89308,-4.46619,-6.64086
