# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=940085228
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_null_soccr_study2_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,p_gamma.1,g_gamma.1
-45.7572,0.960836,0.62465,1,3,0,46.4224,0.164416,-4.38388,-1.34895
-45.701,0.992913,0.62465,1,3,0,45.8562,0.257934,-2.11711,0.145489
-47.1392,0.892977,0.62465,2,5,0,47.2136,0.679317,-1.46595,6.57821
-47.1974,0.998115,0.62465,2,3,0,47.3212,0.688081,-1.89137,6.70465
-46.7349,1,0.62465,3,7,0,47.1654,-0.110099,-3.52657,-5.77742
-48.5869,0.874969,0.62465,2,3,0,48.9595,-0.350563,3.28076,-9.60835
-49.061,0.951224,0.62465,1,1,0,49.2186,-0.398068,2.13403,-10.35
-48.3682,1,0.62465,1,1,0,49.0761,-0.32736,-4.52217,-9.24386
-48.0342,1,0.62465,1,1,0,48.4744,-0.290045,3.56603,-8.65486
-47.1167,0.994822,0.62465,2,5,0,48.2751,0.67588,5.78501,6.52852
-47.764,0.939371,0.62465,1,1,0,47.7683,0.766099,-0.354197,7.81387
-48.3839,0.943581,0.62465,1,1,0,48.4214,0.840516,-1.04111,8.84321
-45.7135,0.993672,0.62465,2,5,0,48.3859,0.208216,8.78661,-0.647208
-47.0811,0.900032,0.62465,2,5,0,47.1021,-0.165709,-0.778777,-6.67181
-47.3748,0.968712,0.62465,1,1,0,47.4355,-0.207625,-1.32424,-7.34334
-45.8688,1,0.62465,2,3,0,47.2244,0.103666,-6.25813,-2.32624
-46.4668,0.959993,0.62465,2,5,0,46.4701,0.561739,-0.305578,4.84858
-47.8269,0.914718,0.62465,2,3,0,48.0433,0.774101,2.50024,7.92593
-48.7598,0.916843,0.62465,1,1,0,48.7667,0.88172,-0.447395,9.4005
-49.7763,0.913403,0.62465,1,1,0,49.812,0.982683,-1.01535,10.7262
-47.0157,1,0.62465,2,3,0,49.7991,0.660143,8.96707,6.30034
-46.7258,0.976046,0.62465,3,7,0,47.9928,0.611362,6.05013,5.58591
-46.1425,0.964923,0.62465,2,5,0,47.4433,0.0139175,6.13017,-3.7751
-46.8354,0.948462,0.62465,2,3,0,47.0062,-0.127081,2.22151,-6.05089
-46.8079,1,0.62465,2,3,0,46.9426,-0.122509,-1.97257,-5.9773
-47.2681,0.951278,0.62465,1,1,0,47.2803,-0.192858,0.592949,-7.10705
-45.7004,0.876283,0.62465,2,5,0,49.3355,0.250712,10.2477,0.0306256
-46.3536,0.877607,0.62465,1,3,0,47.2928,-0.0365446,-5.2089,-4.5905
-47.4273,0.785122,0.62465,2,3,0,49.4527,-0.21471,-7.64933,-7.45657
-45.7752,0.984742,0.62465,3,7,0,48.0141,0.151992,8.0425,-1.54848
-46.0038,0.959349,0.62465,2,3,0,46.2897,0.0541405,-2.87395,-3.1253
-45.7757,0.983283,0.62465,2,3,0,46.2661,0.151634,3.76402,-1.55423
-45.895,0.993256,0.62465,3,7,0,45.9513,0.405756,1.27538,2.46939
-45.7163,1,0.62465,2,3,0,45.8763,0.293579,-2.15034,0.71078
-45.9623,0.965303,0.62465,1,3,0,46.1431,0.431031,2.28505,2.86063
-45.7031,0.968838,0.62465,1,3,0,46.4211,0.230046,4.55438,-0.298605
-45.8861,0.969576,0.62465,1,3,0,46.0736,0.0963952,-2.32744,-2.44345
-45.7087,0.992661,0.62465,1,3,0,46.0073,0.216434,-2.93695,-0.515878
-45.8927,0.98625,0.62465,2,5,0,45.8928,0.0937059,0.0442479,-2.48681
-46.3476,0.94746,0.62465,2,5,0,46.7258,0.536129,3.30545,4.46412
-45.7659,0.891473,0.62465,2,5,0,48.1432,0.158179,-8.28727,-1.44909
-45.8781,0.983349,0.62465,2,5,0,45.9974,0.398758,1.85696,2.36072
-45.7045,0.999389,0.62465,2,5,0,45.8851,0.225919,-2.28416,-0.364438
-45.7065,0.999784,0.62465,1,1,0,45.7065,0.220952,0.0237193,-0.443727
-45.9669,0.970787,0.62465,3,7,0,46.2565,0.0663146,2.89236,-2.92874
-45.752,0.987832,0.62465,2,3,0,46.1648,0.168355,-3.45346,-1.28574
-45.7116,0.987139,0.62465,1,3,0,45.9353,0.28635,2.54231,0.596362
-46.3286,0.939266,0.62465,3,7,0,46.8964,0.531844,4.05023,4.39953
-46.3276,1,0.62465,1,1,0,46.3934,0.531629,-1.37803,4.39629
-45.9071,0.984532,0.62465,2,5,0,46.6742,0.0880302,-4.70762,-2.57834
-45.7029,1,0.62465,2,5,0,45.8877,0.230806,2.31043,-0.286475
-45.7029,0.96984,0.62465,1,3,0,46.0509,0.230806,3.17057,-0.286475
-46.1853,0.962092,0.62465,3,7,0,46.422,0.497203,2.61546,3.87487
-46.4883,0.938255,0.62465,2,5,0,47.2575,-0.0645132,4.71383,-5.04218
-46.8048,0.988706,0.62465,2,3,0,46.8147,-0.12199,-0.535136,-5.96894
-46.4153,1,0.62465,1,1,0,46.7636,-0.049676,-3.17219,-4.8026
-45.7152,0.909323,0.62465,1,3,0,47.7611,0.292055,-7.68786,0.686681
-45.7848,0.989068,0.62465,3,7,0,45.9282,0.352039,-2.03563,1.63148
-47.6934,0.616626,0.62465,2,5,0,52.1931,-0.249135,-11.4014,-8.00553
-45.8202,0.941246,0.62465,1,3,0,48.8108,0.126335,-9.29502,-1.96111
-45.7947,1,0.62465,1,1,0,45.8204,0.140096,-0.861568,-1.73971
-47.0059,0.909655,0.62465,2,3,0,47.0083,-0.154277,0.266474,-6.48823
-46.125,1,0.62465,2,5,0,46.9437,0.481158,4.86323,3.63035
