# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1235143119
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_full_soccr_study1_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-26.9146,1,0.621644,2,3,0,27.4485,-0.926864,-0.462066,1.08293,5.74146,-0.502193,-2.219
-26.9135,0.987453,0.621644,3,7,0,27.1432,-0.863202,-0.346693,-0.671965,-3.80748,-0.832093,3.05436
-27.4669,0.775339,0.621644,2,3,0,29.2192,-1.21679,-0.4075,3.20627,-8.37828,-3.19601,2.79748
-27.4736,0.976361,0.621644,2,7,0,28.7967,-0.958996,-0.269132,-3.28668,-5.92016,-2.13615,7.70533
-27.2757,0.986252,0.621644,2,7,0,27.7233,-0.582975,-0.475639,-1.16602,5.04071,2.30711,-5.25349
-27.7568,0.990075,0.621644,3,7,0,27.8131,-0.927639,-0.611532,-0.389363,-1.81973,0.739302,-8.90775
-28.0668,0.958579,0.621644,2,3,0,28.4945,-1.36934,-0.401432,0.217092,-5.62822,-4.37405,4.408
-27.1825,0.978499,0.621644,2,7,0,28.6113,-0.883771,-0.292407,4.23023,-1.02732,-1.34973,6.03454
-26.987,1,0.621644,2,3,0,27.1497,-0.840497,-0.32141,0.688465,-3.05917,-0.798574,4.23469
-27.0437,0.917019,0.621644,1,3,0,27.7534,-0.617213,-0.437271,1.70902,-5.98155,1.80995,-3.15617
-28.1863,0.872547,0.621644,3,7,0,28.6561,-1.33673,-0.351974,1.53467,-4.60253,-4.55443,6.3296
-27.5136,0.988047,0.621644,2,7,0,28.438,-0.730557,-0.555048,3.11557,-3.42533,1.68885,-8.00736
-27.4973,0.999364,0.621644,3,7,0,27.7673,-1.12739,-0.332645,1.21742,3.37862,-3.10516,5.61737
-28.0537,0.96407,0.621644,3,7,0,28.5421,-0.299146,-0.440141,0.232328,-6.01425,4.47574,-4.71084
-27.2265,0.995386,0.621644,2,3,0,28.1667,-0.947681,-0.302105,3.3159,-2.30215,-1.83908,5.91768
-27.077,0.941558,0.621644,2,7,0,28.5898,-1.03984,-0.490944,0.588565,10.5348,-1.12287,-2.61676
-29.8096,0.84393,0.621644,2,3,0,30.1291,-1.82397,-0.631809,-1.17981,-3.9564,-5.0068,-0.245981
-28.5987,1,0.621644,2,3,0,29.9151,-1.27903,-0.703174,3.98257,2.16086,-0.697811,-9.23797
-28.2783,0.985192,0.621644,2,7,0,29.7288,-0.361467,-0.203238,-0.987657,-10.1298,3.23962,9.06702
-28.1106,0.79445,0.621644,2,7,0,31.08,-1.41475,-0.584412,4.14722,10.9664,-2.87093,-2.98173
-28.0222,0.83093,0.621644,2,7,0,30.5863,-0.672286,-0.178436,5.6222,-2.20501,0.065679,11.4526
-28.1564,0.983548,0.621644,1,1,0,28.2896,-0.631378,-0.167833,-0.282053,3.07915,0.431529,11.9565
-28.4531,0.955635,0.621644,1,1,0,28.5548,-0.626308,-0.144549,0.0780096,2.7494,0.416922,13.3473
-28.7059,0.966771,0.621644,2,3,0,29.8436,-0.14163,-0.2939,-0.613557,-9.09829,5.60955,3.11037
-27.7457,0.993411,0.621644,2,3,0,29.2446,-0.965007,-0.238778,-4.06875,-3.76872,-2.35683,9.33473
-30.4913,0.795181,0.621644,2,3,0,31.03,0.107185,-0.423577,-1.71598,4.78067,7.92389,-4.23958
-27.6089,1,0.621644,2,3,0,30.5554,-0.418485,-0.274637,5.97539,-3.03902,2.86215,4.87163
-27.7183,0.962482,0.621644,2,3,0,28.2539,-0.338794,-0.319983,-2.20747,-3.35262,3.76355,1.97474
-27.4295,0.99506,0.621644,2,7,0,28.0295,-1.1764,-0.379887,1.30079,5.90225,-3.1209,3.74254
-28.9222,0.916396,0.621644,2,7,0,29.6136,-1.63951,-0.570247,0.689086,-6.98916,-4.52687,0.0632747
-29.0404,1,0.621644,2,3,0,29.3572,-1.63524,-0.653685,-1.14664,3.9882,-3.54944,-3.30069
-29.3002,0.954475,0.621644,3,7,0,30.4308,-0.179483,-0.176069,-0.909945,8.92069,5.09191,10.5094
