# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1831671311
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_interaction_soccr_study2_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3
-45.2722,0.984468,0.112932,4,19,0,47.1078,0.30516,-0.722746,-0.0456233,0.222925,1.82193,2.54746,-7.50759,0.713556,-0.604363,-14.4184,4.9635,-12.2071
-45.1814,0.978229,0.112932,4,19,0,46.7746,0.37958,-0.214252,-0.281549,-0.073938,0.174635,-1.35286,-2.60516,-2.6627,0.927788,3.61684,-15.7145,1.78927
-43.697,0.991542,0.112932,5,39,0,46.1916,0.249397,0.124984,-0.0832838,-0.449138,1.17967,-0.765554,-15.4852,-0.629389,-0.43483,0.478583,-4.00616,-0.897139
-43.8608,0.999467,0.112932,5,31,0,43.9055,0.201411,0.200678,-0.086771,-0.520875,0.390046,0.197095,-1.80711,0.0750463,-1.03163,0.937818,-4.94645,-0.759658
-45.1891,0.837279,0.112932,3,15,0,46.1783,0.397433,0.000996585,-0.0541948,-0.53186,-3.38255,-0.2356,-3.5301,-1.49813,0.534533,-14.0667,-2.267,-14.9304
-43.6989,0.995037,0.112932,3,15,0,46.4152,0.370737,0.110367,-0.00325666,-0.467067,1.51403,-2.22096,-11.8181,-1.66776,1.03071,-1.57988,2.13196,-2.20341
-44.6739,0.970214,0.112932,5,31,0,45.0946,0.139184,0.640218,-0.0196196,-0.969894,0.931954,-0.707904,-2.6859,-1.16232,-1.71751,1.54282,-3.55836,-1.32972
-43.6287,0.998869,0.112932,5,31,0,45.0847,0.37871,-0.161702,-0.0171034,-0.189582,3.04437,-1.06368,-8.1451,1.21678,1.09229,-1.86511,3.84985,-1.44138
-44.085,0.97795,0.112932,5,31,0,44.6784,0.431411,-0.46478,-0.166902,0.0630647,-3.54719,-0.166166,0.765801,0.597014,1.26999,-6.16767,-5.09283,-6.03578
-44.6969,0.999327,0.112932,5,31,0,44.9465,-0.0442797,-0.445742,-0.0840289,0.213212,0.9295,0.27747,4.22199,-0.431415,-4.6889,6.25031,2.49558,7.51829
-48.3432,0.991138,0.112932,5,31,0,49.0027,-0.36101,-1.18084,-0.113229,0.785448,2.26232,0.107597,-4.30744,1.24977,-8.56934,-7.8007,3.67946,-4.25242
-48.6643,1,0.112932,3,7,0,48.859,-0.385556,-1.16713,-0.12925,0.916074,-1.48089,0.217918,2.88938,0.311733,-9.52349,3.7033,4.40803,7.42124
-47.3666,0.962052,0.112932,4,15,0,49.4572,-0.221794,-1.10125,-0.0845522,0.855505,5.6684,2.02727,2.57245,0.284586,-7.15719,4.14808,8.14612,8.06903
-44.5309,0.89386,0.112932,4,31,0,53.3233,0.240463,-0.531388,-0.0827383,0.343305,-10.6684,-4.61267,1.05915,1.75798,-0.406494,10.3336,4.45672,12.0642
-46.8255,0.996613,0.112932,4,15,0,47.3047,0.400909,-1.24259,-0.0314058,0.774436,-1.09969,-0.53234,5.89209,-0.554913,0.787127,-12.2813,11.3456,-7.74307
-45.7693,0.986696,0.112932,5,31,0,48.1586,0.264003,-0.410475,-0.289955,0.240485,-1.21332,-1.74927,-13.7708,0.377092,-0.439272,12.1629,-14.5096,11.2548
-45.6637,0.982287,0.112932,5,31,0,47.3713,0.338351,-1.07087,-0.0414716,0.648412,1.93127,-0.149248,3.3018,-2.89391,0.212244,-9.28204,9.70661,-5.4096
-45.1942,0.999489,0.112932,4,31,0,46.7595,0.567503,-0.203199,-0.252388,-0.0822303,0.145271,1.03747,-4.59827,-2.62056,3.41263,4.37321,-13.0752,2.69996
-44.8395,0.89379,0.112932,5,31,0,50.1303,0.406951,-0.220618,-0.141969,-0.271189,5.91748,-1.80227,-18.5411,-0.503754,0.719147,-11.8244,-5.91212,-12.5428
-44.6056,0.99577,0.112932,5,31,0,45.798,0.695303,-0.195342,-0.118508,-0.166482,-1.49389,-1.33917,-3.75484,-1.96828,4.95074,-0.896901,-3.44689,-1.47271
-43.8814,0.990567,0.112932,5,31,0,45.2466,0.462609,-0.205321,-0.141135,-0.0790928,-5.01201,-0.887851,4.49416,0.0901443,2.3806,3.55701,-4.8504,3.00105
-43.7595,0.999836,0.112932,4,31,0,44.4191,0.145076,0.024854,-0.0905651,-0.306289,-2.03079,0.131513,7.06835,0.268969,-1.84473,3.44279,-3.24534,2.51461
-44.4388,0.910284,0.112932,5,31,0,45.7093,0.523564,-0.780353,-0.114124,0.396146,-1.90642,-0.567244,1.42117,-2.46298,2.52601,-5.20158,2.36683,-3.17571
-44.0155,0.984498,0.112932,5,31,0,45.9281,0.332911,0.177155,-0.116856,-0.457179,2.83919,-2.80974,-2.63984,1.0846,0.803208,4.42841,-6.81476,2.52892
-44.6362,0.959316,0.112932,4,23,0,47.1427,0.20925,0.195673,-0.155054,-0.418305,-6.55705,-0.821891,-7.91291,-0.326589,-0.843008,9.02552,-9.74384,6.80769
-44.7378,0.991646,0.112932,4,31,0,46.5339,0.178508,-0.432233,-0.21339,0.240816,-0.314421,2.15591,-1.04317,-2.41965,-1.52644,9.92748,-8.34401,9.85274
-44.9841,0.979309,0.112932,5,31,0,46.5785,0.75099,-0.373499,-0.0399195,-0.00539723,-2.39176,1.76354,7.68542,1.27801,5.58966,-1.89431,4.16473,-0.90426
-44.2807,0.996987,0.112932,4,31,0,46.0597,0.315102,-0.403105,0.0311158,0.0954649,-6.40397,0.60472,-1.35798,-0.0364716,0.413588,1.27276,11.1178,3.34957
-44.1101,0.9948,0.112932,5,39,0,44.4678,0.273965,-0.35077,0.0303102,0.00401927,1.04766,-1.24894,2.32751,0.11157,-0.297218,-2.00437,9.71969,-0.263217
-44.0724,0.988488,0.112932,4,31,0,46.8328,0.194544,-0.421662,-0.194551,0.0642971,1.04958,0.113949,16.8736,-0.301035,-1.55346,-3.52122,-7.75318,-3.65996
-44.5813,0.998847,0.112932,4,15,0,44.8792,0.279199,-0.243616,-0.246559,-0.0687742,1.74591,-0.0110811,0.0731422,-0.996577,-0.345382,1.11397,-13.126,-0.251097
-46.877,0.99705,0.112932,5,31,0,47.3526,-0.166548,-1.15357,-0.0806744,0.834932,1.7336,-0.770634,4.97255,0.325151,-6.2169,-2.16964,7.72967,1.8049
-46.1294,0.999572,0.112932,4,15,0,47.4105,-0.185593,-0.97823,-0.1581,0.661071,2.94436,1.24748,-5.98174,-1.37106,-6.69038,-2.17533,-0.12749,0.454137
-47.3756,0.982483,0.112932,5,31,0,48.8727,0.864907,-1.22513,-0.31419,0.927287,-3.7502,-0.556395,-7.82669,1.27887,6.58815,3.6464,-5.96284,5.64704
-50.3859,0.985017,0.112932,5,31,0,52.5132,0.504626,-0.848759,-0.561668,0.551526,5.9525,-0.465464,4.19421,1.62401,1.00953,4.78428,-28.1665,3.07872
-46.7353,1,0.112932,5,31,0,52.4156,0.904164,-0.533389,0.0100122,0.196634,2.59841,-0.933624,-23.5072,0.354342,7.89669,2.64708,10.5329,4.98293
-44.84,0.985741,0.112932,5,31,0,48.8148,0.325455,-0.751466,0.00549232,0.405107,-7.46266,1.87808,-10.6405,0.21588,0.422195,-2.6619,11.7155,0.550031
