# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1235143119
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_full_soccr_study1_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-26.8142,0.980662,0.580027,1,3,0,27.5583,-0.77429,-0.39395,-1.71284,5.80089,0.23165,0.0265683
-27.0611,0.945999,0.580027,2,3,0,27.3246,-1.03028,-0.378234,1.15616,-3.18453,-1.98541,2.6594
-26.8948,0.998042,0.580027,2,3,0,27.0996,-0.957303,-0.411911,1.3225,-1.90714,-1.13936,0.443833
-30.048,0.73991,0.580027,3,7,0,30.1321,-1.47901,-0.23688,0.827115,-1.30228,-6.37125,12.3403
-27.7501,0.997165,0.580027,2,7,0,30.4688,-1.3191,-0.548259,-3.3642,10.9251,-2.59425,-2.47081
-27.2367,0.882038,0.580027,2,7,0,30.4777,-0.680699,-0.503503,-5.83756,-4.3909,1.71226,-5.99031
-30.5862,0.852794,0.580027,2,7,0,31.2837,-1.89342,-0.795585,2.70423,-2.06688,-3.44857,-5.60547
-29.3666,0.99965,0.580027,2,3,0,30.6331,-1.66088,-0.710393,3.08166,5.51026,-3.04552,-5.21291
-26.9228,0.904168,0.580027,3,7,0,30.7989,-0.947903,-0.460025,-1.16199,-16.079,-0.68238,-1.95209
-26.866,0.98427,0.580027,3,7,0,27.4612,-0.922518,-0.399486,1.65825,4.94995,-0.953398,0.791353
-27.1815,0.967566,0.580027,3,7,0,27.239,-1.04857,-0.353871,-0.721502,0.918157,-2.31712,3.99554
-28.0109,0.909682,0.580027,3,7,0,28.495,-0.934467,-0.205663,2.23579,-1.85009,-2.25405,10.9499
-27.9542,0.982715,0.580027,2,7,0,28.8362,-1.16905,-0.286973,-1.23834,-7.17623,-3.75547,8.12141
-27.4466,0.968719,0.580027,2,3,0,28.5557,-0.913026,-0.261024,-2.97728,4.82853,-1.78478,7.8724
-27.4107,0.986843,0.580027,2,3,0,27.9338,-0.616405,-0.246605,1.51271,-4.72335,0.85512,7.24198
-28.3476,0.827036,0.580027,2,5,0,29.6467,-0.899594,-0.666758,-2.16277,-7.83545,1.38677,-11.3838
-28.5502,0.970943,0.580027,3,7,0,29.4627,-0.172214,-0.406361,3.24063,0.0774949,5.4869,-3.23487
-28.2169,1,0.580027,3,7,0,28.6175,-0.717744,-0.625801,-1.99517,-1.94081,2.27033,-11.1145
-27.1057,1,0.580027,2,3,0,28.13,-1.07712,-0.482135,-1.65369,7.35563,-1.48112,-1.88151
-27.8393,0.777696,0.580027,1,3,0,29.4355,-0.565729,-0.549293,4.24597,-1.43156,2.85527,-8.79369
-28.645,0.894981,0.580027,1,1,0,28.651,-0.459448,-0.593945,0.0594965,-0.624594,3.84122,-11.2822
-26.8979,1,0.580027,2,3,0,28.4982,-0.654767,-0.375308,2.33484,-8.80267,1.13659,0.265389
-27,0.985444,0.580027,2,3,0,27.1063,-0.673704,-0.314467,-0.372886,2.54565,0.637867,3.66058
-27.2096,0.960571,0.580027,2,3,0,27.4474,-0.486555,-0.365088,-1.11232,2.99352,2.56734,-0.0267989
-27.3044,0.988696,0.580027,1,1,0,27.3262,-0.451743,-0.358817,0.482282,-0.321887,2.85398,0.172062
