# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=505920961
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_full_soccr_study2_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-43.3153,1,0.483111,3,7,0,46.2683,0.734743,-0.390041,-6.11485,-13.4717,5.33052,-2.67107
-42.9757,0.921236,0.483111,2,7,0,46.4227,-0.0901628,-0.325329,8.5776,-5.6501,-5.24504,-0.90093
-42.0586,0.987174,0.483111,2,5,0,43.4912,0.364385,-0.292116,5.69068,1.55654,1.14951,2.70288
-42.8657,0.943361,0.483111,2,3,0,43.0398,0.373537,-0.185144,-1.42298,-3.43106,1.67671,12.2486
-43.4966,0.964188,0.483111,2,3,0,43.7251,0.328626,-0.137013,1.22435,4.73575,1.11996,16.6133
-42.7292,0.998055,0.483111,2,3,0,43.8163,0.402893,-0.201731,1.26216,-11.8318,2.05709,10.8334
-43.4961,0.958031,0.483111,3,7,0,44.5025,0.773519,-0.357025,1.63424,11.0633,6.11202,0.190923
-42.5701,0.993776,0.483111,3,7,0,44.3735,0.57328,-0.300741,-5.70016,7.26455,3.96348,3.10305
-41.9837,0.92872,0.483111,1,3,0,44.1809,0.280955,-0.331513,-6.88634,-4.14831,-0.155204,-0.965494
-42.2384,0.983182,0.483111,2,5,0,42.3315,0.388166,-0.257552,-0.666731,-3.18324,1.62988,5.80072
-42.2926,0.97961,0.483111,2,3,0,42.6302,0.355847,-0.241928,1.60414,5.56624,1.22651,7.05551
-41.9906,0.951225,0.483111,1,3,0,43.2869,0.252212,-0.328053,2.32541,12.076,-0.534938,-0.773783
-42.4816,0.971587,0.483111,2,3,0,42.5101,0.202091,-0.421955,-0.701205,-0.984841,-1.48259,-8.47765
-44.25,0.835682,0.483111,2,3,0,45.7149,-0.0285369,-0.512374,-4.41971,-9.17084,-4.31705,-15.3321
-45.2761,0.959293,0.483111,2,3,0,45.72,-0.21036,-0.516173,-0.80253,-7.56301,-6.32459,-15.2609
-44.4581,0.997688,0.483111,3,7,0,46.7326,-0.273604,-0.403618,-0.308183,-17.6732,-7.47705,-6.81805
-44.7322,0.942062,0.483111,2,7,0,47.4925,0.815392,-0.528338,-7.76221,-4.18771,4.83727,-11.6165
-42.3416,0.994285,0.483111,2,7,0,44.7497,0.523257,-0.335802,-5.48893,12.2547,3.07042,-0.0929607
-42.364,0.9928,0.483111,3,7,0,42.8727,0.403632,-0.412195,-3.18961,2.97153,1.06758,-6.85906
-43.5077,0.923916,0.483111,2,3,0,43.8251,0.165325,-0.504692,0.768368,-6.33409,-2.14414,-14.6025
-42.3358,0.984653,0.483111,2,7,0,44.5219,0.512689,-0.308616,-3.30295,-15.3353,3.0988,2.07217
-42.5578,0.990999,0.483111,2,7,0,42.8666,0.0101581,-0.282297,2.63576,0.85219,-3.85425,2.77674
-42.6458,0.927927,0.483111,2,7,0,44.4572,0.541947,-0.414767,-5.71524,7.26952,2.75957,-6.14934
