# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=940085228
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_null_soccr_study2_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,p_gamma.1,g_gamma.1
-45.7016,1,0.810412,2,3,0,45.9946,0.235986,3.19174,-0.203888
-45.9176,0.953545,0.810412,1,3,0,46.1393,0.414663,2.77694,2.6075
-46.6447,0.929492,0.810412,2,3,0,46.8223,0.596566,2.48481,5.36714
-47.3336,0.909172,0.810412,1,1,0,47.3392,0.707967,0.442348,6.99019
-46.1944,0.999405,0.810412,3,7,0,47.2067,0.000565441,-5.93328,-3.99086
-45.8097,0.905156,0.810412,1,3,0,47.2576,0.366332,7.09577,1.85525
-45.7639,0.877181,0.810412,3,7,0,47.2278,0.159592,7.13512,-1.4264
-45.8255,0.990684,0.810412,1,1,0,45.8256,0.123642,-0.040922,-2.00446
-45.7136,0.981708,0.810412,1,3,0,46.0264,0.289612,3.29831,0.648018
-45.7322,0.987387,0.810412,2,3,0,45.8374,0.312185,-1.91225,1.00473
-45.7254,0.999089,0.810412,3,7,0,45.7495,0.305006,0.91434,0.891418
-45.7456,0.996775,0.810412,2,3,0,45.7679,0.324369,-0.879258,1.19677
-46.0929,0.919128,0.810412,3,7,0,46.6807,0.472127,4.52133,3.49232
-45.7666,0.932331,0.810412,1,3,0,46.8562,0.157712,-6.15557,-1.45659
-45.7631,0.94762,0.810412,3,7,0,46.3465,0.337793,4.50413,1.40792
-47.2564,0.689864,0.810412,1,3,0,49.3246,-0.191203,8.48053,-7.08056
-47.899,0.907728,0.810412,1,1,0,47.9749,-0.274185,1.6248,-8.40356
-47.545,1,0.810412,2,3,0,48.0201,-0.230242,4.06473,-7.70452
