# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1238074989
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_age_nointeraction_soccr_study1_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,p_gamma.1,p_z_beta.1,p_z_beta.2,g_gamma.1,g_z_beta.1,g_z_beta.2
-27.4041,1,0.540994,3,7,0,27.6951,-1.26396,-0.554299,-0.358317,-1.25654,-2.61699,1.13762,-2.10629,0.159299,-3.93816
-28.5892,0.977932,0.540994,3,7,0,29.2462,-0.244091,-0.332063,-0.0505848,1.35077,1.11318,-5.36104,4.6784,1.53374,7.04045
-28.0979,0.959847,0.540994,3,7,0,30.0153,-1.19986,-0.593339,-0.48752,3.96766,4.1948,3.21276,-1.1122,-0.0447291,-8.35108
-26.8404,0.970253,0.540994,3,7,0,29.3032,-1.04086,-0.463058,-0.174962,-0.531221,9.31427,7.10882,-1.4426,0.292826,2.30741
-27.8091,0.954441,0.540994,2,7,0,28.0639,-1.31804,-0.698789,-0.289128,0.218313,0.5975,-3.86487,-1.3457,-5.99339,0.465133
-26.752,0.989731,0.540994,3,7,0,28.097,-0.835186,-0.406522,-0.157349,2.08404,7.15963,-0.00214119,-0.220151,1.3845,2.3286
-27.3436,0.878446,0.540994,2,3,0,28.1241,-1.09995,-0.390141,-0.104379,-1.63558,4.35627,3.37682,-2.49395,3.47861,4.83907
-27.8039,0.894618,0.540994,3,7,0,29.067,-0.504256,-0.471452,-0.0608588,0.461044,2.87042,-8.17432,2.87743,-4.92873,7.93197
-30.9935,0.671843,0.540994,3,7,0,33.5737,-0.558921,-0.877515,-0.37122,2.68644,1.45898,10.7563,4.16446,-15.9912,1.06737
-28.8392,0.985955,0.540994,2,7,0,31.7855,-0.529483,-0.480787,-0.490116,-1.89494,11.7964,1.48152,3.14365,2.18862,-12.3073
-27.323,0.890634,0.540994,3,7,0,32.4054,-0.741092,-0.470166,-0.063563,-6.39526,5.74813,6.88643,0.964617,-3.45634,7.6566
-28.7718,0.79107,0.540994,3,7,0,30.5168,-1.53132,-0.402871,-0.297791,1.68263,2.71352,-9.10172,-5.15055,7.69358,-2.33517
-28.5297,0.979083,0.540994,2,3,0,29.9182,-1.54157,-0.547705,-0.419624,-2.49336,6.63284,0.758031,-3.7913,3.05398,-5.47106
-28.0976,1,0.540994,3,7,0,28.9529,-1.17471,-0.654788,-0.479364,2.73169,-2.25682,2.30292,-0.620234,-2.70964,-7.17374
-26.9036,0.986457,0.540994,2,7,0,29.4215,-0.630488,-0.459566,-0.172305,-2.13495,-6.40155,-9.07575,1.77644,-2.26496,2.19454
-28.5833,0.88084,0.540994,2,7,0,29.0176,-1.59147,-0.476274,-0.224788,0.383479,-4.23681,-2.31496,-5.17899,4.71655,1.02529
-29.6929,0.860233,0.540994,2,3,0,30.9745,-1.61948,-0.389013,-0.0960948,3.5534,-2.53118,1.16159,-6.24904,7.67916,5.35992
-27.2926,1,0.540994,2,3,0,30.1661,-0.99514,-0.61397,-0.367853,4.20629,-5.27104,-6.81883,0.129382,-3.98286,-3.87648
-26.6794,0.982653,0.540994,3,7,0,28.1583,-0.857347,-0.419519,-0.203965,3.66491,3.72548,0.687513,-0.274649,1.47766,0.242504
