# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1861130243
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_age_nointeraction_soccr_study2_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,p_gamma.1,p_z_beta.1,p_z_beta.2,g_gamma.1,g_z_beta.1,g_z_beta.2
-43.043,0.980949,0.703885,3,7,0,45.2323,0.460727,-0.244234,-0.109491,1.20188,-15.4075,-11.286,2.58925,6.75605,-1.41126
-44.6333,0.873108,0.703885,2,3,0,44.9698,0.546232,-0.178234,-0.222844,-2.02132,-5.38029,-1.26876,3.69277,12.6703,-10.4552
-43.6366,0.921197,0.703885,3,7,0,47.176,0.221355,-0.44642,0.00506439,-1.10415,20.9361,12.3023,-1.32102,-10.2277,6.83556
-43.831,0.995768,0.703885,3,7,0,44.0062,0.395261,-0.191113,-0.197644,-2.00009,-2.10594,0.312075,1.65119,11.0677,-8.93886
-45.3249,0.841055,0.703885,3,7,0,47.1473,0.874677,-0.487522,-0.149677,4.34669,10.7748,-8.79695,5.71488,-8.47578,-3.35062
-45.5665,0.935978,0.703885,3,7,0,47.486,0.915787,-0.284767,-0.0210943,-5.82065,9.04417,5.61425,8.51709,6.88689,6.39184
-42.8044,1,0.703885,2,3,0,45.3992,0.438058,-0.289195,-0.0588865,7.94253,3.99364,5.63476,2.1389,2.95559,2.69166
-43.473,0.948073,0.703885,2,3,0,43.6552,0.620799,-0.399011,-0.0547946,-0.979829,-4.52478,-2.0046,3.79786,-4.61278,2.85915
-43.3045,1,0.703885,3,7,0,43.6633,0.0429547,-0.259104,-0.155789,-2.37422,3.05956,4.17703,-3.39615,4.42321,-5.83304
-46.1651,0.805049,0.703885,2,3,0,46.5648,-0.418601,-0.305315,-0.146193,2.06573,-4.65406,4.52318,-9.66426,1.43506,-4.52424
-42.9727,1,0.703885,2,3,0,46.2579,0.422335,-0.240152,-0.0826994,-9.24473,0.233484,-4.96671,2.11307,7.01173,0.819025
-42.7324,0.998335,0.703885,3,7,0,43.1184,0.259913,-0.375815,-0.0911794,-3.06275,-2.50928,-0.52842,-0.643176,-4.98513,-0.265058
-42.7575,0.997117,0.703885,2,7,0,42.8829,0.33486,-0.354803,-0.143542,-0.696085,-4.09421,0.960441,0.35025,-2.93303,-4.29992
-43.3495,0.954394,0.703885,2,3,0,43.5646,0.122682,-0.195329,-0.090438,-0.599554,2.8941,-5.29994,-2.15835,10.2418,-0.0305457
-43.0672,0.896963,0.703885,2,3,0,44.8639,0.0574924,-0.31788,-0.0336514,4.91794,-11.8547,-2.87231,-3.20349,-0.509981,4.4805
-43.9648,0.934595,0.703885,3,7,0,44.5429,-0.0413774,-0.212333,-0.159258,-3.54405,1.44223,4.3631,-4.60252,8.54666,-6.20413
-43.7663,0.959683,0.703885,3,7,0,45.6508,0.341845,-0.288542,0.0739757,-4.60401,13.2906,1.98782,0.849506,3.66783,14.0284
-44.1654,0.974514,0.703885,3,7,0,45.0549,0.461265,-0.43645,-0.251503,-2.73633,8.37731,-5.85401,1.32355,-7.61799,-11.2534
-43.7015,0.991822,0.703885,2,3,0,44.6718,0.246923,-0.347988,-0.25321,-1.80901,7.80808,9.42707,-0.900053,-1.91915,-12.7089
-42.9691,0.993747,0.703885,3,7,0,44.269,0.506131,-0.321934,-0.140729,0.405624,-0.898233,-15.5075,2.73871,0.532798,-3.87074
-44.1129,0.917401,0.703885,2,3,0,44.2421,0.72492,-0.324169,-0.188094,-1.646,-1.65639,1.52434,5.36684,1.89649,-6.83904
-46.7039,0.785414,0.703885,2,3,0,47.7187,-0.0801646,-0.568897,-0.229526,-2.4096,7.88759,8.84972,-4.80333,-17.941,-8.40508
-43.2604,0.924604,0.703885,2,7,0,49.0825,0.377039,-0.4403,-0.132225,8.63275,18.1897,13.9808,0.487523,-9.28477,-3.08349
-45.1395,0.833026,0.703885,2,3,0,46.1307,0.0680397,-0.308572,-0.32285,-1.0355,-8.1182,-10.1131,-3.15532,1.65563,-18.3285
-44.3177,0.990375,0.703885,3,7,0,45.9472,-0.0475194,-0.35477,-0.23596,2.26686,-1.63771,16.2973,-4.60288,-2.93367,-11.5483
-44.2907,0.964977,0.703885,2,3,0,45.4162,-0.142124,-0.400587,-0.138622,3.46136,1.98356,11.0918,-5.77233,-7.11562,-3.90708
-43.9619,0.796681,0.703885,2,3,0,48.9694,0.204412,-0.397431,0.0764228,-7.15573,-2.40217,-23.9849,-1.37102,-5.78482,12.8308
-44.5313,0.93434,0.703885,2,3,0,45.3748,-0.0738971,-0.451078,-0.00638113,0.491312,4.54707,-11.4936,-4.88886,-10.9714,5.92691
-45.2091,0.92952,0.703885,3,7,0,46.8843,0.220511,-0.503486,-0.277549,-3.63392,-13.9047,-0.917171,-1.63863,-12.7815,-12.3067
-43.4746,0.964501,0.703885,2,7,0,46.576,0.47959,-0.443592,-0.15222,-4.40832,-10.062,-18.1454,1.6501,-8.84285,-4.36214
-44.1912,0.95647,0.703885,2,3,0,44.3605,0.391384,-0.500189,-0.185553,-1.80084,-1.97317,-2.19401,0.290547,-13.0537,-6.31828
-43.1704,0.944723,0.703885,3,7,0,45.5111,0.0557629,-0.375226,-0.0540502,1.05791,18.3916,6.53294,-3.2727,-5.33612,2.58255
-43.2939,0.959577,0.703885,3,7,0,44.3812,0.528156,-0.244911,-0.131924,3.16139,-6.79581,9.01816,3.46834,6.98614,-3.13314
-42.641,0.98552,0.703885,2,3,0,43.6287,0.376059,-0.301047,-0.0757172,3.35617,7.08055,-7.0353,1.21399,1.61026,1.17622
-44.1788,0.889919,0.703885,3,7,0,44.8232,0.71565,-0.454275,-0.0680069,-3.70799,4.18573,-2.36517,4.41859,-7.84705,1.88748
-48.3752,0.853314,0.703885,2,7,0,48.7467,0.65949,-0.705686,-0.207248,2.03127,-0.373043,6.38397,1.46368,-23.1946,-5.45875
-45.6218,0.985613,0.703885,2,3,0,49.4718,0.569389,-0.539596,-0.267661,-2.38526,24.0671,-4.19272,1.84745,-13.6233,-10.8373
-46.5563,0.937176,0.703885,1,1,0,46.5875,0.553323,-0.588088,-0.288482,-0.784569,0.141023,1.24599,1.35023,-16.3887,-11.3809
-45.7497,0.994573,0.703885,3,7,0,48.1533,-0.167085,-0.181468,0.0551651,6.98472,7.82621,6.53663,-6.56092,12.6706,13.6525
-42.9569,1,0.703885,2,3,0,45.5979,0.120259,-0.344646,-0.0289196,5.69924,-10.9593,-11.4893,-2.37567,-2.66497,4.753
-44.0484,0.904302,0.703885,2,3,0,44.547,0.762824,-0.319732,-0.0782359,-3.09273,-0.659354,5.16784,6.19179,2.58686,1.55474
-44.2367,0.994434,0.703885,3,7,0,44.4426,0.768069,-0.286342,-0.0668938,-2.20484,2.01028,0.597119,6.55177,5.29674,2.57454
-43.555,0.992298,0.703885,3,7,0,45.3201,-0.0568385,-0.339656,-0.140104,-4.73758,-4.88879,12.1476,-4.75447,-2.40039,-4.30481
-44.1524,0.932216,0.703885,1,1,0,44.1668,-0.159025,-0.354458,-0.140135,0.171096,-0.500145,1.47804,-6.0774,-3.45901,-4.21108
-43.772,0.954631,0.703885,3,7,0,45.8743,0.0774694,-0.238349,-0.212305,5.58313,11.2104,-5.84544,-2.92369,6.42848,-10.5685
-44.3858,0.98822,0.703885,3,7,0,44.418,0.562585,-0.425762,0.0728214,-0.16146,1.00144,-2.16169,2.95929,-6.14193,12.2188
-43.0987,0.997642,0.703885,2,7,0,44.6304,0.396691,-0.425579,-0.113203,-2.66158,6.12464,-13.9345,0.818987,-8.16038,-1.74009
-45.008,0.845584,0.703885,2,3,0,45.5232,0.610899,-0.152376,-0.194693,0.966858,-8.85014,0.487105,4.79205,15.1012,-7.88933
-43.5794,1,0.703885,2,3,0,45.7007,-0.0574903,-0.314493,-0.0228608,-2.41394,-16.4898,6.71612,-4.80019,-0.161892,5.4175
-44.4936,0.916389,0.703885,2,3,0,45.0719,-0.14324,-0.400278,0.00106205,-3.69563,1.03704,3.55897,-5.83034,-6.93667,6.83869
-43.0653,1,0.703885,2,3,0,44.7675,0.0879587,-0.248832,-0.121196,-5.24283,-7.41687,8.09797,-2.73677,5.31635,-2.87743
-43.9952,0.773482,0.703885,2,3,0,46.3258,0.163099,-0.204212,0.042697,-4.32436,15.5447,5.49056,-1.52908,10.4046,12.2404
-43.5814,1,0.703885,3,7,0,44.8269,0.170604,-0.461842,-0.0768342,-3.18243,3.14746,12.3031,-1.99626,-11.7789,0.795392
-47.0471,0.753712,0.703885,2,3,0,47.445,-0.3425,-0.527073,-0.119017,0.11013,-7.84887,1.94603,-7.67082,-15.5363,-1.84769
-45.3901,0.931839,0.703885,3,7,0,50.3813,0.222904,-0.167991,-0.298638,8.93813,16.5704,8.23368,-0.959145,12.93,-17.4931
-48.2739,0.774569,0.703885,2,3,0,49.8677,-0.223005,-0.137035,-0.333336,-0.0341915,10.417,-13.1685,-7.0134,15.6192,-20.2021
-42.8225,1,0.703885,2,3,0,47.8543,0.405052,-0.314475,-0.154013,6.84153,-14.2476,19.6167,1.4253,0.643555,-5.13289
-43.7604,0.921476,0.703885,2,3,0,43.9992,0.47012,-0.483717,-0.0705726,0.4532,2.99926,-5.73221,1.36316,-11.9392,1.40782
-45.0572,0.88031,0.703885,2,3,0,46.5608,0.127629,-0.10267,-0.00717061,2.72226,-14.1595,0.729131,-1.97342,19.5881,8.43545
-43.0252,1,0.703885,2,3,0,45.1348,0.0603689,-0.346833,-0.0587117,1.72703,-16.9544,-6.6896,-3.18996,-3.03277,2.28002
-42.9517,0.944459,0.703885,3,7,0,44.2171,0.502827,-0.298571,-0.128309,5.16461,-6.56628,-1.80706,2.85279,2.39434,-2.91643
-43.087,0.891749,0.703885,3,7,0,44.517,0.336107,-0.212497,-0.0664283,-4.7394,-9.81546,1.47417,0.992044,9.21393,2.24582
-43.0729,0.974965,0.703885,3,7,0,43.9153,0.240696,-0.41938,-0.117229,2.55266,-8.93278,-4.60331,-1.05093,-8.36893,-2.18338
-42.7569,0.902498,0.703885,1,3,0,44.4211,0.38593,-0.274245,-0.120654,2.30352,15.4829,0.431032,1.40145,3.8588,-2.51473
-43.1277,0.927288,0.703885,3,7,0,44.2462,0.409344,-0.425382,-0.122513,4.81638,-1.44539,-6.82932,0.962493,-8.05193,-2.40411
-42.7645,1,0.703885,2,7,0,43.2064,0.393165,-0.361094,-0.0502304,1.00495,-7.40317,-3.59132,1.1787,-3.16693,3.09455
-42.6447,0.991248,0.703885,3,7,0,43.0238,0.22805,-0.307805,-0.120725,-1.72826,6.33555,-2.08064,-0.879443,0.48335,-2.70995
-43.3272,0.865639,0.703885,3,7,0,44.8037,0.604394,-0.334623,-0.0384219,5.94161,-2.80536,4.85063,4.10716,0.327925,4.3601
-43.5732,0.964091,0.703885,2,3,0,44.0443,0.684464,-0.344189,-0.0822687,-3.09884,-1.06736,-4.52946,4.99273,0.0308307,1.01912
-45.546,0.847901,0.703885,2,3,0,45.8462,0.924655,-0.278557,-0.0470164,1.58437,5.04985,3.10172,8.64051,7.29037,4.46206
-45.8131,0.999148,0.703885,3,7,0,46.5018,-0.389502,-0.360018,-0.0915679,-0.0729768,5.36251,9.77848,-9.09667,-3.17754,-0.183153
-44.5221,1,0.703885,1,1,0,45.6718,-0.229011,-0.360546,-0.0902056,5.55679,1.29988,0.256799,-7.00747,-3.86743,-0.216659
-44.4214,0.954952,0.703885,3,7,0,46.6321,-0.0896107,-0.297567,0.053095,7.54969,-0.401178,-4.47122,-5.27068,2.00343,12.1435
-43.2315,0.9953,0.703885,3,7,0,44.6949,0.0208986,-0.272615,-0.0396781,-4.51712,1.17409,11.4466,-3.69921,3.37722,4.18438
-43.1963,0.985297,0.703885,2,3,0,43.6795,0.155437,-0.285176,0.0163505,3.22306,-3.24751,-2.57138,-1.77579,2.80369,9.05024
-45.6243,0.844733,0.703885,2,3,0,46.2547,0.394803,-0.210519,-0.336446,1.15346,-9.7443,0.117671,1.12297,9.96564,-19.536
-43.2113,1,0.703885,2,3,0,46.0537,-0.0083844,-0.323179,-0.106944,1.77987,8.20761,-20.7747,-4.1146,-1.13179,-1.6651
-43.9962,0.944508,0.703885,3,7,0,44.5574,0.696118,-0.359411,-0.194493,-1.66158,-2.90644,-8.7212,4.73182,-0.947511,-7.2906
-42.9911,0.98748,0.703885,2,7,0,44.5025,0.303763,-0.366105,0.00121092,4.89425,-2.01722,-10.6064,0.0164534,-3.71234,7.14156
-43.1941,0.968146,0.703885,2,7,0,43.7306,0.251135,-0.204883,-0.136882,-0.37322,4.77659,-8.54823,-0.319063,9.48222,-4.0744
-42.7918,0.976705,0.703885,3,7,0,43.8136,0.215067,-0.290215,-0.0272603,-0.83954,12.6919,-1.33956,-0.950481,2.17103,5.2199
-45.5874,0.715806,0.703885,2,3,0,46.28,-0.0705209,-0.486678,-0.248248,-3.81578,-4.83104,1.53603,-4.77919,-12.3647,-10.7492
-47.4609,0.840057,0.703885,3,7,0,50.6106,0.922323,-0.171298,0.0371912,8.62033,0.508497,-8.71426,9.44263,16.2333,11.7645
-45.8386,1,0.703885,1,1,0,47.3759,0.83527,-0.228171,0.0294657,4.47736,10.4965,4.79795,7.95869,11.0735,10.7235
-44.5532,0.998646,0.703885,3,7,0,47.0149,0.736328,-0.215205,-0.10982,-4.19888,-2.24916,-18.2255,6.51684,10.6654,-0.666211
-43.7596,1,0.703885,3,7,0,44.5396,-0.0774099,-0.385453,-0.0636295,3.09968,7.93751,2.7296,-4.99732,-6.1518,1.80538
-45.5824,0.8779,0.703885,2,3,0,46.5983,-0.165598,-0.442445,0.0670741,-0.422231,3.27766,-13.2688,-6.02504,-9.47743,11.5183
-43.7024,0.962397,0.703885,3,7,0,47.2656,0.669291,-0.376788,-0.028367,7.14508,12.377,-11.7679,4.6126,-2.41159,5.00715
-43.0406,0.995142,0.703885,3,7,0,44.0991,0.45298,-0.409985,-0.0741056,4.96247,-1.34608,5.0929,1.63521,-6.68834,1.197
-42.9686,0.968234,0.703885,2,3,0,43.6612,0.516992,-0.369752,-0.0899596,2.89828,-7.76917,1.5715,2.6727,-3.2024,0.108593
-42.8262,0.888632,0.703885,1,3,0,44.8358,0.105878,-0.327734,-0.0738741,-7.01669,5.37792,1.75116,-2.55749,-1.42722,1.08175
-43.4885,0.934976,0.703885,3,7,0,44.0916,0.379036,-0.437474,0.00401136,2.75538,6.40009,-3.67125,0.626855,-8.87895,6.88031
-43.8668,0.901433,0.703885,3,7,0,45.6055,-0.0602511,-0.394285,-0.0237451,-1.73354,-14.0241,8.89328,-4.77331,-6.7355,4.91149
-44.5426,0.953541,0.703885,3,7,0,46.1025,0.521938,-0.379949,0.106994,-3.90181,-6.75983,11.5788,2.77131,-2.47507,15.4478
-43.5884,1,0.703885,2,3,0,45.003,0.49329,-0.297074,0.0391151,-1.57685,8.46823,-12.842,2.91294,3.26267,10.9274
-45.9813,0.889491,0.703885,2,7,0,46.4657,0.286013,-0.479219,0.168104,-2.20683,-5.6261,-4.55109,-0.648068,-10.1231,18.4085
-45.6668,0.991519,0.703885,3,7,0,48.5751,-0.303997,-0.275621,0.0278189,-0.838554,11.8585,-19.4209,-8.36856,4.14143,10.161
-44.9616,1,0.703885,3,7,0,46.7105,0.87184,-0.282177,-0.0970484,-3.70034,8.73862,12.0348,7.83105,6.34306,0.507288
-43.188,1,0.703885,2,3,0,45.3329,0.552312,-0.275345,-0.0616306,7.48133,0.873243,-3.7551,3.77396,4.73366,2.66788
-43.0641,0.994427,0.703885,3,7,0,43.7072,0.062286,-0.287036,-0.036582,-2.51018,-6.40704,-5.45403,-3.11368,2.14348,4.38558
-42.7692,1,0.703885,2,3,0,43.1532,0.137701,-0.28245,-0.0825015,-2.17448,0.33716,6.24366,-2.05208,2.47003,0.448328
-42.8997,0.986268,0.703885,3,7,0,43.1134,0.0965412,-0.346407,-0.0679618,0.88073,-5.38966,-1.17005,-2.70653,-2.98056,1.532
-43.2938,0.958216,0.703885,2,7,0,43.7427,0.614004,-0.358922,-0.121502,-3.31347,-1.11471,2.6022,3.91493,-1.68899,-2.12633
-43.5645,0.973019,0.703885,2,3,0,43.9287,0.660326,-0.388438,-0.0654127,-2.94134,0.360434,2.87277,4.35589,-3.51845,2.14786
-43.6477,0.917665,0.703885,3,7,0,45.7073,0.696626,-0.324742,-0.0870186,-6.84398,7.0453,-2.28147,5.29203,1.63474,0.723282
