# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1235143119
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_full_soccr_study1_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-28.2461,0.904489,0.595402,1,3,0,30.3332,-1.4345,-0.608196,5.47619,-1.94213,-2.74516,-3.74705
-28.0977,0.998226,0.595402,3,7,0,28.4462,-1.43546,-0.547192,-1.00361,-5.07458,-3.41083,-1.20813
-28.3887,0.940002,0.595402,2,7,0,31.6207,-0.653093,-0.148823,5.6869,9.71502,0.16373,13.1605
-27.7669,0.964616,0.595402,3,7,0,29.4526,-1.1983,-0.605077,4.35443,-6.00655,-1.17596,-6.11279
-27.291,1,0.595402,2,3,0,27.7645,-1.14913,-0.512956,1.27623,5.77459,-1.73062,-2.61326
-28.4721,0.949266,0.595402,2,3,0,28.5067,-1.52795,-0.580372,0.278534,1.64233,-3.67743,-1.57899
-28.8369,0.996381,0.595402,2,3,0,28.8717,-1.6107,-0.610251,0.139425,-1.75586,-3.88968,-1.85909
-28.1613,1,0.595402,2,3,0,29.017,-1.45169,-0.553497,2.98562,4.77308,-3.45469,-1.29879
-28.1587,1,0.595402,3,7,0,28.4701,-1.3296,-0.63795,2.13043,-0.406431,-1.72027,-6.10294
-27.7156,0.889377,0.595402,3,7,0,29.9113,-0.331875,-0.367067,-5.63875,1.55707,3.96781,-0.709313
-27.244,0.998166,0.595402,3,7,0,28.0459,-1.01809,-0.325062,2.70332,5.28407,-2.27567,5.21133
-27.3592,0.985513,0.595402,2,7,0,27.8818,-0.444118,-0.326983,2.66182,-1.89885,2.80002,1.92382
-26.88,0.982526,0.595402,1,3,0,27.6797,-0.689008,-0.358047,3.23453,2.81123,0.740217,1.37854
-26.8698,0.97392,0.595402,3,7,0,27.4919,-0.930231,-0.404764,-2.415,-4.54214,-0.976257,0.58785
-28.2889,0.907907,0.595402,2,3,0,28.6536,-0.691683,-0.156554,1.88237,3.3638,-0.191072,12.8095
-27.1665,1,0.595402,2,3,0,28.3794,-0.861736,-0.290443,-0.339196,-10.5311,-1.16919,6.00961
-27.1868,0.998534,0.595402,3,7,0,27.4194,-0.647642,-0.277759,-1.2619,3.378,0.696446,5.58721
-26.8604,0.999879,0.595402,2,3,0,27.215,-0.691659,-0.389587,-1.11632,-4.9804,0.902783,-0.269332
-27.2693,0.907217,0.595402,1,3,0,27.9682,-0.820441,-0.267944,-1.30847,7.31894,-0.929136,6.99583
-27.431,0.997886,0.595402,3,7,0,27.7263,-0.441166,-0.302658,-1.21866,4.22599,2.73886,3.30693
-27.3928,0.919616,0.595402,3,7,0,28.8186,-1.22074,-0.463028,1.70849,-10.6252,-2.72606,0.301203
-28.7305,0.952137,0.595402,3,7,0,29.2812,-1.56197,-0.636009,-2.3772,3.89854,-3.27741,-3.44409
-30.1906,0.866182,0.595402,2,3,0,30.6092,-1.82813,-0.488983,2.11584,3.22678,-6.58795,5.22149
-31.0695,0.899793,0.595402,1,1,0,31.16,-1.91865,-0.45108,-1.11675,-0.703401,-7.49388,7.47753
-29.9183,1,0.595402,1,1,0,30.9733,-1.78842,-0.492248,3.48139,-4.58089,-6.30998,4.69948
-26.908,0.946272,0.595402,2,7,0,31.0019,-0.764379,-0.334052,-7.71172,1.82946,-0.0592153,3.10132
-26.8507,0.999198,0.595402,2,3,0,26.9233,-0.735754,-0.360692,0.248269,-2.50958,0.349525,1.51342
-27.5739,0.878534,0.595402,1,3,0,28.3675,-0.373914,-0.383683,-3.36848,1.33554,3.64504,-1.48261
-27.1491,0.991573,0.595402,3,7,0,28.0002,-0.965306,-0.322269,3.39835,2.41047,-1.85636,4.9936
-32.0896,0.781946,0.595402,2,3,0,32.9526,0.186483,-0.156861,1.98619,7.39301,9.00088,11.7636
-27.714,1,0.595402,2,3,0,31.998,-0.668698,-0.207592,7.09193,8.85741,0.202901,9.72405
-32.7186,0.72607,0.595402,2,3,0,33.0438,0.133426,-0.0802829,-0.771074,5.11844,8.47259,16.8098
-27.211,1,0.595402,2,3,0,32.1596,-0.538097,-0.302314,-6.61599,-13.4382,1.82601,3.7036
-27.4046,0.987812,0.595402,3,7,0,27.6109,-0.424321,-0.385996,1.21536,3.11686,3.20717,-1.42033
-27.3833,0.921001,0.595402,3,7,0,28.8758,-1.105,-0.553981,-3.62713,7.39877,-1.02326,-4.8421
-29.5071,0.848226,0.595402,2,3,0,29.5954,-0.723378,-0.725755,0.967871,1.49699,2.90934,-14.9104
-27.7221,1,0.595402,2,3,0,29.6177,-1.26952,-0.57428,-3.1293,10.6289,-1.98089,-4.08918
-27.0527,0.995018,0.595402,2,5,0,28.0106,-0.56507,-0.345411,2.43496,7.13623,1.77285,1.41085
-26.9272,0.998845,0.595402,2,3,0,27.1,-0.635825,-0.393887,-1.45107,-1.63909,1.40496,-0.820053
-27.5768,0.952883,0.595402,3,7,0,27.7212,-1.06957,-0.292902,0.337298,-3.54528,-2.91538,7.17287
-27.4598,0.980696,0.595402,2,3,0,28.0677,-1.1613,-0.361049,1.57687,-6.35086,-3.15524,4.51198
-26.8543,0.939129,0.595402,2,7,0,28.6262,-0.765274,-0.431841,-4.70744,4.89127,0.560587,-1.9489
-28.3381,0.881394,0.595402,3,7,0,28.7559,-0.419303,-0.549514,2.40887,-1.42067,3.92946,-9.5282
-28.8199,0.941524,0.595402,2,3,0,29.7269,-0.532651,-0.631353,3.14516,-4.62136,3.53223,-12.4624
-27.0646,0.994743,0.595402,2,7,0,29.1446,-0.570017,-0.333725,1.73486,-13.1354,1.6726,2.07966
-28.0659,0.908441,0.595402,2,3,0,28.5769,-0.33383,-0.242514,-1.83277,-5.09237,3.6086,6.57431
