# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=505920961
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_full_soccr_study2_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-42.2774,0.998075,0.606401,2,3,0,42.2999,0.488824,-0.361086,0.20084,1.91181,2.45848,-2.34769
-42.1199,0.999779,0.606401,2,3,0,42.3291,0.434103,-0.334793,-1.82342,3.93716,1.8935,-0.541619
-42.0907,0.988306,0.606401,3,7,0,42.4438,0.161102,-0.31237,-1.50333,-6.87429,-1.75064,0.318282
-42.9003,0.901824,0.606401,1,3,0,43.4795,-0.0715705,-0.338595,-3.80332,-3.14479,-4.976,-2.04026
-42.5606,0.997765,0.606401,2,7,0,43.1024,0.0393988,-0.374689,-3.58925,3.65168,-3.48202,-5.03863
-42.5612,0.994535,0.606401,3,7,0,43.0847,0.510248,-0.254746,-3.19486,5.19286,3.36804,6.616
-43.9326,0.926518,0.606401,3,7,0,44.7621,-0.0518288,-0.153972,-4.77538,-1.01823,-4.80788,14.6454
-43.2177,1,0.606401,3,7,0,44.636,0.392207,-0.497828,6.03727,-4.21091,0.438677,-13.1794
-42.6441,1,0.606401,3,7,0,43.6133,0.607165,-0.340985,1.48639,-12.442,4.13168,0.0699602
-43.0481,0.984442,0.606401,2,3,0,43.2706,0.658258,-0.414518,2.18414,2.95521,4.17945,-5.19196
-45.5348,0.901736,0.606401,3,7,0,46.3332,0.156239,-0.614749,2.87992,-9.31769,-2.50639,-21.664
-45.9522,0.981463,0.606401,3,7,0,47.2361,-0.0691613,-0.596388,-0.0882082,-14.9467,-4.67999,-20.7151
-46.1849,0.999363,0.606401,3,7,0,47.2116,-0.265117,-0.549887,-2.4137,11.9194,-6.79445,-17.3037
-45.1423,1,0.606401,1,1,0,46.1315,-0.170228,-0.523289,3.94397,8.62499,-5.86281,-15.8583
-42.9916,0.995521,0.606401,3,7,0,46.1741,-0.0426108,-0.238094,-7.21849,-15.0455,-4.63237,6.75696
-43.4101,0.985141,0.606401,3,7,0,43.8061,0.619003,-0.47977,3.17821,2.33066,3.14692,-10.2617
-42.4382,0.998354,0.606401,3,7,0,43.7169,0.552414,-0.343046,4.30325,-10.3028,3.4048,-0.484065
-42.2103,0.999258,0.606401,3,7,0,42.5039,0.470303,-0.312384,-2.79222,1.44808,2.50428,1.5126
-42.1278,0.996195,0.606401,3,7,0,42.4179,0.424994,-0.353107,-2.7801,-1.383,1.67232,-2.08477
-43.0898,0.86096,0.606401,2,7,0,45.0022,0.20572,-0.47969,-4.51701,-14.3036,-1.61335,-12.7345
-42.882,1,0.606401,1,1,0,43.0898,0.216723,-0.463976,0.686272,5.76233,-1.43488,-11.568
-43.5558,0.986479,0.606401,3,7,0,44.1382,0.773634,-0.399103,0.689776,9.91837,5.71709,-2.98034
-42.9243,0.858035,0.606401,3,7,0,47.0994,0.170797,-0.177778,-9.87066,-10.6884,-1.374,12.4842
-43.9672,0.931855,0.606401,2,3,0,44.3048,-0.0304641,-0.145093,-0.169512,7.65304,-4.47682,15.4924
-42.2794,1,0.606401,3,7,0,43.8397,0.118527,-0.266768,-3.65797,13.691,-2.27931,4.23569
-42.3615,0.968169,0.606401,2,3,0,42.8244,0.0543185,-0.324664,-3.23267,3.85879,-3.24928,-0.877954
-42.0713,0.999403,0.606401,2,7,0,42.3964,0.38945,-0.350639,2.9695,1.07247,1.2166,-2.07269
-42.1413,0.988674,0.606401,3,7,0,42.495,0.430485,-0.355073,-2.41151,4.9996,1.7335,-2.21316
-42.1791,0.996874,0.606401,3,7,0,42.3005,0.44077,-0.294776,-1.27671,3.29905,2.19539,2.83368
-42.5411,0.976796,0.606401,2,3,0,42.6054,0.564115,-0.298605,-0.900513,-2.4681,3.85397,3.22093
-42.6931,0.970479,0.606401,3,7,0,43.5649,0.259392,-0.191918,4.32622,5.83871,-0.0530549,11.3215
-42.4548,0.992059,0.606401,3,7,0,43.2815,0.0351969,-0.286518,1.26953,-11.5647,-3.49677,2.41147
-42.2857,0.992053,0.606401,3,7,0,42.8117,0.374494,-0.246587,-3.80268,0.805119,1.47796,6.71195
-41.9871,0.967047,0.606401,1,3,0,42.7781,0.254615,-0.313623,-2.59876,-9.75743,-0.455673,0.454541
-42.3639,0.935462,0.606401,1,3,0,42.9545,0.258651,-0.225638,-0.135991,-10.133,-0.144593,8.22188
-42.3751,0.958834,0.606401,2,3,0,43.0449,0.291718,-0.224686,-0.116644,-10.7929,0.345968,8.39733
-42.7209,0.961479,0.606401,3,7,0,43.5547,0.367665,-0.45656,0.935949,11.8149,0.385225,-10.3767
-42.8028,0.96665,0.606401,3,7,0,43.8886,0.560277,-0.247029,-5.3004,3.51862,4.10814,7.54753
-42.5276,0.986082,0.606401,3,7,0,44.0839,0.255338,-0.434202,6.31259,-4.51421,-0.866713,-9.22971
-42.8394,0.98958,0.606401,3,7,0,43.3359,0.58778,-0.423626,0.606296,9.16977,3.24974,-6.46042
-43.186,0.987793,0.606401,3,7,0,43.4156,-0.117641,-0.276374,-1.18248,-5.58358,-5.69488,3.38095
-44.4405,0.923848,0.606401,2,3,0,44.8858,-0.302036,-0.35396,-2.90466,4.94489,-8.04251,-2.74116
-45.3216,0.948526,0.606401,3,7,0,47.3201,0.76571,-0.141952,-3.21554,16.8172,7.49966,17.5877
-44.1049,1,0.606401,3,7,0,45.6953,-0.218039,-0.409509,-2.73589,-15.1571,-6.75478,-7.47073
-43.4257,0.995665,0.606401,2,3,0,44.7265,0.0519187,-0.475863,5.90014,2.75304,-3.39437,-12.7593
-43.6136,0.977279,0.606401,2,3,0,44.2393,-0.0953018,-0.437071,1.40771,9.81985,-5.16692,-9.85807
-45.0594,0.935162,0.606401,2,7,0,45.6448,0.0138681,-0.56938,3.98362,1.46223,-3.85798,-19.0818
-43.5349,0.99918,0.606401,3,7,0,45.6779,0.759966,-0.302176,2.88265,17.9087,6.4127,4.35134
-45.2809,0.92279,0.606401,2,3,0,45.8671,1.00559,-0.344496,-2.86167,7.10923,9.05727,3.4177
-43.4788,1,0.606401,2,3,0,45.5099,0.762796,-0.323139,7.44595,-2.23976,6.27542,2.72095
-43.6164,0.997883,0.606401,3,7,0,44.3538,0.739804,-0.447637,-3.73369,-6.38159,4.84024,-6.85487
-42.7091,1,0.606401,2,3,0,43.6192,0.592118,-0.396985,4.22267,-6.80505,3.51398,-4.41715
-43.6982,0.977677,0.606401,3,7,0,43.8989,0.505717,-0.524648,2.27412,1.55426,1.51993,-14.2593
-41.9875,0.989396,0.606401,3,7,0,44.2947,0.326867,-0.319599,2.0386,-19.3759,0.516616,0.210707
-41.9977,0.907978,0.606401,3,7,0,44.3876,0.238389,-0.311002,-7.68387,6.6953,-0.672462,0.628256
-42.1301,0.975673,0.606401,2,3,0,42.348,0.281057,-0.260542,-0.948546,-5.67926,0.0843875,5.15079
-42.0825,0.98854,0.606401,3,7,0,42.5351,0.268142,-0.36892,-1.99405,7.33363,-0.462462,-4.0868
-42.0551,0.999016,0.606401,3,7,0,42.1497,0.318556,-0.280663,1.6102,0.404159,0.551683,3.51056
-42.1591,0.993992,0.606401,3,7,0,42.2746,0.185089,-0.266907,-0.242664,-4.44153,-1.31639,4.33752
-42.0863,0.991935,0.606401,3,7,0,42.4661,0.375766,-0.362274,-2.95668,3.33895,0.977889,-3.0841
-42.3504,0.988406,0.606401,2,5,0,42.3958,0.131299,-0.247432,-0.69713,2.20014,-2.06626,5.99001
-42.1025,0.998322,0.606401,3,7,0,42.5207,0.335221,-0.271528,1.7091,-7.37688,0.821562,4.36854
-42.1121,0.997133,0.606401,2,3,0,42.1906,0.398179,-0.289842,-0.249725,-3.64274,1.62995,3.04732
-43.1604,0.925173,0.606401,2,3,0,43.1847,0.520147,-0.194031,0.806821,-0.379338,3.79698,11.9801
-43.9206,0.937417,0.606401,2,3,0,44.4756,0.455152,-0.127759,-3.01862,-6.27039,3.06395,17.7744
-43.5469,1,0.606401,1,1,0,43.9321,0.434377,-0.146346,-1.2934,-7.51844,2.70149,16
-42.3842,0.998148,0.606401,2,7,0,43.799,0.52125,-0.300023,-1.18608,-15.4078,3.26602,2.83833
-42.1905,0.980257,0.606401,2,5,0,42.8051,0.114574,-0.305972,4.0943,1.26281,-2.39009,0.788418
-44.4561,0.860753,0.606401,2,3,0,44.5195,-0.180845,-0.170152,-0.389859,-3.17609,-6.79079,13.2179
-46.1287,0.90554,0.606401,3,7,0,47.4428,0.96926,-0.574875,-2.82322,-13.3645,5.8907,-12.7728
-46.0857,0.974653,0.606401,3,7,0,48.2428,-0.444287,-0.232476,-1.28014,19.1082,-10.5387,8.24532
-42.1397,1,0.606401,2,3,0,45.9667,0.233436,-0.261089,-10.0241,5.87106,-0.604225,4.96764
-42.1058,0.999922,0.606401,3,7,0,42.1802,0.290393,-0.375996,-1.25474,1.74906,-0.198756,-4.57077
-42.9695,0.948886,0.606401,2,3,0,43.0929,0.566145,-0.449638,-1.84461,0.296147,2.78365,-8.54783
-43.9189,0.962858,0.606401,2,3,0,43.9915,0.670821,-0.510229,0.892089,-2.76254,3.45137,-11.8929
-46.5761,0.894822,0.606401,2,7,0,48.2194,1.02988,-0.580757,6.24783,-6.37624,6.43043,-12.3499
-46.3939,1,0.606401,1,1,0,46.7333,0.983687,-0.588636,2.83143,-2.94628,5.86024,-13.4462
-46.2968,0.991491,0.606401,2,3,0,47.2388,0.931959,-0.601906,-3.93818,8.15246,5.17387,-14.9201
-42.4574,0.968217,0.606401,2,7,0,47.474,0.535736,-0.292467,7.24056,-23.3142,3.50795,3.55632
-43.059,0.965077,0.606401,2,5,0,43.2054,-0.0893144,-0.361552,1.96597,1.08844,-5.19018,-3.92456
-43.4906,0.971778,0.606401,3,7,0,44.4803,0.533525,-0.172622,-2.98982,10.7732,4.07818,13.9441
-44.0205,0.982838,0.606401,2,3,0,44.1065,0.519076,-0.134946,1.54188,-0.162594,3.99735,17.295
-44.0874,0.999124,0.606401,2,3,0,44.3996,0.43933,-0.116089,-2.6859,-3.00007,2.85368,18.8196
-45.7042,0.929318,0.606401,2,3,0,46.0318,0.343293,-0.0351221,-2.64262,3.62205,1.48429,26.3741
-43.443,1,0.606401,3,7,0,46.7904,-0.158848,-0.359084,-0.958864,24.0167,-6.12069,-3.60438
-45.1203,0.918392,0.606401,2,3,0,45.5302,-0.271759,-0.474634,-3.28721,1.8522,-7.17206,-12.137
-43.6065,0.922026,0.606401,2,3,0,47.1854,-0.196161,-0.314271,-8.84068,-11.472,-6.73252,0.234313
-44.0326,0.961823,0.606401,1,1,0,44.0645,-0.25588,-0.316545,-0.926486,0.38996,-7.55249,0.210219
-42.9061,0.997618,0.606401,2,3,0,44.3052,-0.0358892,-0.246688,-6.17214,-2.0137,-4.52936,5.97189
-42.2729,0.989134,0.606401,3,7,0,43.4643,0.0853462,-0.32992,5.29483,-5.57962,-2.82652,-1.29547
-42.2127,0.978014,0.606401,3,7,0,42.9746,0.460728,-0.299484,2.39089,-9.83203,2.44476,2.54031
-42.1777,0.998144,0.606401,3,7,0,42.4966,0.178612,-0.36918,2.03468,-5.42902,-1.64075,-4.38197
-44.027,0.884404,0.606401,2,7,0,44.8142,0.72299,-0.50241,-4.47677,3.31989,4.10382,-10.8536
