# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1831671311
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_interaction_soccr_study2_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3
-44.0314,0.938369,0.107004,5,39,0,45.2658,0.291809,-0.636572,-0.132232,0.389238,-2.174,2.50555,-0.738973,0.669154,0.0873433,4.87341,0.425664,6.40818
-43.9363,0.99478,0.107004,5,43,0,45.4371,0.194251,0.000325753,0.0254035,-0.391021,0.35003,-2.66863,-3.33615,1.30907,-1.44919,-5.01554,5.16511,-4.89481
-44.8941,0.973028,0.107004,4,31,0,48.1326,0.631425,-0.25977,-0.194586,-0.145593,-5.89094,0.184551,11.7355,-1.99518,3.68421,-4.39383,-8.65501,-5.49392
-44.8963,0.98205,0.107004,6,63,0,47.1306,0.327357,0.267663,-0.14663,-0.687023,-3.48784,-3.00885,-0.481451,1.50283,0.445093,-5.52001,-10.3898,-8.15548
-44.3124,0.999451,0.107004,5,31,0,47.6984,0.397114,-0.767125,-0.176228,0.514267,-6.39929,1.62095,-12.4155,0.000651265,1.41963,4.50565,-1.731,6.12435
-45.0669,0.957971,0.107004,3,15,0,46.7468,0.451521,-0.99288,-0.262463,0.595889,-1.54308,-0.177054,9.50548,-2.12654,1.05666,-6.59278,-6.83368,-5.1573
-45.7922,0.990107,0.107004,5,31,0,46.401,0.313221,-1.30093,-0.259061,0.885607,-1.18861,0.263734,6.93344,-0.749983,-0.799612,-9.47197,-4.14303,-6.68695
-45.5422,0.999773,0.107004,5,31,0,46.2697,0.295246,-1.17468,-0.295307,0.911648,-0.64226,1.72579,-4.90886,0.339559,-0.516414,2.621,-7.67295,4.77838
-46.2109,0.863557,0.107004,3,15,0,49.252,0.445498,-1.14071,-0.168697,0.622253,3.53774,0.0839575,12.9187,-2.48247,0.517031,-15.7897,0.580707,-13.0457
-45.0974,0.996702,0.107004,4,31,0,48.2352,0.257499,0.170154,-0.00227734,-0.313002,-2.11805,2.05771,3.60676,-3.67416,0.0261319,16.6071,5.2007,16.1683
-45.4826,0.999882,0.107004,5,31,0,46.9303,0.166961,-0.995629,-0.240548,0.801767,-3.59214,-0.901451,-1.21188,-2.26167,-1.88306,8.25961,-4.90266,10.3614
-43.8586,1,0.107004,5,63,0,46.0994,0.339993,0.304114,-0.0134963,-0.599043,-2.72165,-1.12632,0.685293,3.29968,0.911999,3.73033,0.244044,2.27685
-44.1065,0.997407,0.107004,5,31,0,44.3848,0.339666,0.23071,-0.115712,-0.517126,0.497253,1.14934,1.85658,-0.430056,0.900697,4.08967,-7.27554,1.96627
-45.153,0.981172,0.107004,4,31,0,46.554,0.191025,0.270607,-0.190796,-0.640831,-4.55913,1.04379,-6.75658,0.420477,-1.1104,-1.94358,-13.4933,-4.84057
-49.1074,0.983774,0.107004,4,15,0,49.7004,0.356695,0.353417,-0.376985,-0.713977,-2.56027,1.46842,1.08216,0.105886,0.654249,1.61102,-25.7683,-3.05346
-47.7655,0.999396,0.107004,4,31,0,49.9288,0.446068,0.485266,-0.293281,-0.806858,-1.84518,-0.330832,-14.5722,-0.275116,1.96304,3.60963,-21.6879,-1.01591
-46.8112,0.969664,0.107004,4,31,0,50.136,0.275004,-0.0809392,-0.321924,-0.367189,3.19708,2.18729,-6.02476,-3.38394,-0.566238,-6.62417,-18.8405,-9.24689
-49.119,0.987478,0.107004,5,31,0,49.2402,0.387151,-1.31465,0.0744918,0.80039,0.0130766,0.715231,-1.97156,-0.165911,0.730011,-13.9758,18.0388,-8.43158
-47.2356,0.998976,0.107004,5,31,0,51.0132,0.60791,-0.864028,0.0946796,0.455286,-2.64589,-1.1576,7.15645,4.17584,3.73164,-4.79698,18.5729,-0.361764
-44.3171,0.962212,0.107004,4,31,0,50.3551,0.30782,0.554605,0.0381363,-0.855038,4.2867,-2.30775,9.28753,4.78507,0.471377,4.12784,2.02446,2.11072
-45.9201,0.992642,0.107004,4,15,0,46.2972,0.504077,0.663248,-0.123164,-1.02426,0.418445,-1.48916,-0.240684,0.380236,2.95943,0.345917,-11.9383,-3.73601
-45.4166,0.999135,0.107004,4,15,0,46.0594,0.45448,0.618399,-0.11013,-0.964737,-2.49177,-0.433129,3.94148,1.20829,2.3924,1.03398,-10.6299,-2.72836
-44.6198,0.999953,0.107004,5,31,0,46.6092,0.0627501,-0.768376,-0.0660902,0.442012,-1.2362,-2.30388,4.39055,2.38409,-3.17168,-2.31135,5.8972,0.288245
-48.0806,0.991962,0.107004,5,31,0,49.2167,-0.0857333,-1.57076,-0.11189,1.2315,-2.04566,0.230039,10.0765,0.280031,-5.00036,-4.58454,8.59767,0.722757
-48.8981,0.911286,0.107004,4,15,0,51.5987,-0.0334757,-1.53146,-0.022138,1.08978,-3.32285,-3.54063,5.39674,0.587878,-3.96169,-11.403,13.3315,-5.86466
-45.2491,0.991091,0.107004,4,15,0,49.613,0.297023,-1.16198,-0.270739,0.873469,-5.01038,-3.3618,13.0529,0.585672,-0.495929,0.48263,-5.96084,2.79074
-46.3405,0.991474,0.107004,5,31,0,46.9281,0.654327,-1.29422,-0.170468,1.00278,2.93492,0.370518,3.93428,-0.787747,4.64447,1.83206,4.95894,5.75024
-46.5465,0.993214,0.107004,4,15,0,46.7168,0.665089,-1.32481,-0.178321,1.04493,-0.155928,0.823374,2.47268,0.185624,4.83667,2.7617,4.83426,6.75993
-48.2623,0.874958,0.107004,5,31,0,51.1646,0.370654,-1.43642,-0.0217651,1.19234,-5.68513,-1.34172,3.13215,-2.86569,1.55644,4.73003,18.2583,10.8616
-46.0406,1,0.107004,3,7,0,48.3195,0.380541,-1.21393,-0.0563125,0.899108,0.118267,-3.23719,7.20208,0.960884,1.27069,-1.07398,12.0106,3.59382
-44.8832,0.966271,0.107004,4,15,0,46.854,0.381111,-1.06111,-0.252437,0.724747,-0.688093,0.364563,-9.50933,-2.57925,0.497572,-2.72926,-5.46718,-0.779161
-44.4698,0.937437,0.107004,5,31,0,46.9721,0.376457,-0.056312,-0.115859,-0.122322,-4.9669,1.79118,0.839395,-2.58177,1.62381,12.4799,-3.24594,11.7576
-47.0364,0.873318,0.107004,4,31,0,48.0998,0.221726,-0.331122,-0.2006,0.287012,-2.57878,-1.65627,-3.60093,1.28015,-0.634127,23.4099,-6.38893,23.3102
-44.8357,1,0.107004,3,7,0,47.5039,0.253974,-0.647494,-0.202903,0.188782,1.48871,-3.7333,0.691015,-1.57617,-1.21406,-11.2686,-6.34427,-10.6713
-45.2015,0.993369,0.107004,5,31,0,47.0533,0.539267,0.424552,0.0291681,-0.901704,-0.476478,1.87082,11.6814,0.192494,2.54305,-8.35721,-0.310422,-10.2484
-45.6103,0.996623,0.107004,5,63,0,46.4364,0.0402212,-1.027,-0.185605,0.594464,-0.831701,-2.03007,-1.10152,0.944721,-3.80426,-11.1323,-2.20366,-8.75806
