# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=133243476
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_interaction_soccr_study1_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3
-28.6145,0.999876,0.0992107,5,31,0,30.0106,-1.34391,-0.597857,-0.152618,0.0134825,0.291584,-0.0911155,-10.9763,0.178629,-2.55337,-2.60945,4.51222,-2.13727
-28.0302,0.989744,0.0992107,4,23,0,29.1549,-1.05398,-0.520775,-0.23299,-0.0893847,3.27894,0.316015,-5.08082,-0.216229,-0.333031,-5.21885,1.40464,-5.14108
-28.6456,0.99776,0.0992107,4,31,0,30.2937,-1.31934,-0.0156367,-0.307948,-0.586439,1.72699,-0.397728,3.70859,2.27531,-1.96048,-0.55387,-2.69248,-1.7472
-29.9065,0.959347,0.0992107,4,15,0,29.942,-1.45627,-0.1202,-0.321844,-0.70413,-0.242414,-0.091984,0.264085,0.344993,-0.878947,-7.49889,-0.363931,-8.41889
-29.2776,0.997857,0.0992107,5,31,0,30.7127,-1.00044,0.278664,-0.37641,-0.719372,2.76124,0.995261,1.91154,1.57533,-0.424891,5.87671,-9.26391,3.51162
-30.1238,0.908884,0.0992107,3,11,0,31.7681,-0.947292,-0.0983049,-0.329582,-0.715898,-0.511902,-0.0725151,-5.42622,-2.32494,2.04611,-10.8942,-0.607509,-12.0772
-28.7602,0.99826,0.0992107,5,63,0,31.4248,-0.831053,0.428334,-0.229361,-0.944622,-1.1545,1.0775,-8.4302,2.48626,1.01281,-0.463244,-2.49784,-2.79776
-29.6756,0.964062,0.0992107,5,47,0,32.0121,-0.990792,-1.53654,-0.302711,1.2273,-0.0711573,-2.58311,-0.780997,1.73183,-2.12843,6.06797,-1.31514,8.53078
-28.8092,0.999462,0.0992107,5,31,0,29.9107,-0.768752,-1.30315,-0.230908,0.714152,-1.12073,-1.75441,-0.738596,1.03995,1.31191,-8.05155,3.24882,-6.1723
-28.4321,0.962417,0.0992107,4,31,0,30.8731,-1.07475,-0.0450631,-0.182457,-0.288445,0.688819,-0.298924,-0.542529,3.16301,-2.49386,7.48469,-0.302707,6.57717
-28.7185,0.985127,0.0992107,5,63,0,29.359,-0.763222,-0.44308,-0.0891595,-0.149889,1.95824,-1.19813,0.709756,-0.131957,1.65349,-8.41828,7.36841,-8.25727
-28.7075,0.986239,0.0992107,5,31,0,31.0905,-0.43952,-0.707941,-0.0956039,0.263288,-3.1652,2.54564,2.04471,0.334917,3.24576,-3.93894,6.84263,-3.06823
-28.5772,0.999301,0.0992107,5,31,0,29.7537,-0.487319,-0.675433,-0.0941129,0.220544,-3.40696,0.884839,0.31634,-0.736096,2.89782,-4.19523,6.84652,-3.40862
-28.4224,0.982654,0.0992107,5,31,0,29.8163,-1.06866,-1.00375,-0.143736,0.466145,-3.25593,0.594259,-5.71009,0.800084,-1.09084,-4.02126,5.47367,-2.59617
-27.9665,0.99539,0.0992107,5,31,0,28.9591,-0.922795,-0.173764,-0.297835,-0.367746,-1.43524,-0.33767,3.48491,1.68257,0.27763,-1.49364,-3.2715,-2.48141
-28.7267,0.987413,0.0992107,5,31,0,28.9817,-0.500134,-0.658526,-0.088969,0.165869,-0.854227,-0.374542,1.97516,0.717413,2.98103,-5.96688,7.32388,-5.2381
-28.3533,0.997675,0.0992107,3,15,0,29.2049,-0.621033,-0.581617,-0.135311,0.304622,-2.35021,-0.388417,-5.91065,-0.174054,0.908689,6.33536,2.92036,6.88435
-28.5634,0.999995,0.0992107,6,63,0,29.6138,-1.22788,-0.871085,-0.354041,0.430779,0.899524,-1.57823,-5.23863,0.554623,-2.8151,3.59654,-4.04024,4.28988
-28.2424,0.952032,0.0992107,6,63,0,29.9215,-0.642924,-0.769348,-0.150731,0.462093,2.28028,-0.90229,2.95436,-2.04803,0.814812,4.6029,3.05255,5.56967
-29.9203,0.98926,0.0992107,5,31,0,30.8185,-0.78332,0.658522,-0.303563,-1.05164,2.49204,-0.19394,-0.890742,1.33101,1.01864,6.96713,-8.73473,3.71231
-29.5303,0.999785,0.0992107,5,63,0,31.3674,-1.63786,-0.35362,-0.309626,-0.374276,-1.97994,-1.17022,2.56819,2.18922,-2.95369,-3.11866,-0.53523,-3.4283
-28.8355,0.995125,0.0992107,5,31,0,30.6298,-0.538591,-1.13224,-0.291772,0.830608,-4.84353,0.0380362,-2.26634,0.118889,1.76918,5.51666,-3.06209,6.85425
