# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1831671311
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_interaction_soccr_study2_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3
-44.2734,0.942928,0.130307,5,31,0,45.7296,0.590196,0.112849,-0.0764343,-0.449714,-3.47003,0.249421,-3.71728,2.52154,3.96169,0.973621,-3.32577,-0.431284
-43.9173,0.999372,0.130307,4,15,0,44.5096,0.53962,-0.0201719,-0.0532882,-0.308027,-3.16268,-0.842617,2.25264,0.623194,3.34984,1.04757,-0.118665,0.485174
-44.6804,0.878623,0.130307,3,11,0,46.4771,0.484262,0.0280001,-0.0498976,-0.211155,-5.44937,0.600563,1.38164,2.00137,3.28674,12.9006,1.78114,12.4848
-45.9001,0.999872,0.130307,5,31,0,47.5536,0.284868,0.733204,-0.136772,-1.03298,2.79136,0.138416,-1.9659,3.13915,0.393962,4.59192,-13.3115,0.286564
-46.4759,0.931854,0.130307,5,31,0,47.4345,0.217111,-0.772523,0.0265445,0.589362,-2.03904,1.18921,3.42991,-1.95803,-0.613732,11.1954,17.0854,15.1429
-46.6495,0.990541,0.130307,5,31,0,48.0628,0.319631,0.717897,-0.126858,-0.869991,0.78963,2.3675,-1.95489,-2.19439,0.869225,16.3701,-11.2869,12.3705
-44.5376,1,0.130307,5,31,0,47.6881,0.210635,0.535233,0.0671512,-0.801388,1.48754,-0.699906,-14.9167,-2.8398,-0.886457,6.93292,5.48529,5.37346
-45.4913,0.999547,0.130307,4,15,0,45.6703,-0.00620387,0.420542,0.129229,-0.694186,-1.35804,-0.632562,-0.632202,0.611246,-4.19589,6.3397,12.4687,5.92536
-45.6677,0.910158,0.130307,4,31,0,48.9553,0.390953,-0.167147,-0.279433,-0.255643,3.88284,-3.79398,-9.67847,0.346996,0.737619,-5.68787,-15.5618,-7.76323
-44.8645,0.990751,0.130307,4,31,0,46.4709,0.455074,-0.896647,-0.0757092,0.483125,1.39286,2.35546,-9.63886,-0.261908,1.56961,-7.95459,5.91295,-5.10008
