# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1861130243
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_age_nointeraction_soccr_study2_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,p_gamma.1,p_z_beta.1,p_z_beta.2,g_gamma.1,g_z_beta.1,g_z_beta.2
-47.3357,0.904729,0.593493,2,3,0,48.8436,-0.332336,-0.453991,-0.286245,2.88383,-8.50134,10.1071,-7.74015,-8.95428,-13.5272
-45.7595,1,0.593493,3,7,0,47.8066,0.930609,-0.335611,0.021125,-3.01308,-12.1855,-10.3453,8.26293,3.45902,9.25515
-46.6403,0.962501,0.593493,3,7,0,49.2347,0.449395,-0.193601,0.172467,7.31611,-2.31326,3.24266,2.58501,13.74,23.7983
-46.1908,0.999987,0.593493,3,7,0,48.4919,0.233316,-0.455745,-0.372837,4.97376,-9.97573,8.99706,-1.46915,-7.88407,-19.0969
-45.0627,0.994678,0.593493,3,7,0,48.5508,0.872652,-0.433557,-0.0241757,3.47158,-10.4492,-18.4796,6.50343,-4.59958,5.26662
-44.8437,0.850783,0.593493,2,7,0,48.479,0.784417,-0.303472,-0.228167,8.6328,-1.89675,4.6644,6.08237,3.99152,-9.55687
-43.9604,0.981921,0.593493,3,7,0,45.9697,0.109199,-0.401979,-0.234853,5.87849,4.30469,-6.58375,-2.68317,-6.47947,-10.9252
-43.4089,1,0.593493,3,7,0,44.176,0.575907,-0.289228,-0.018984,0.845281,-4.7979,-9.47093,4.05902,3.94348,6.16518
-43.3689,0.996317,0.593493,3,7,0,43.998,0.159208,-0.382395,-0.197861,-3.44037,3.35473,1.13237,-2.0162,-5.29296,-8.41795
-44.5389,0.933936,0.593493,2,3,0,44.8758,0.425635,-0.349618,-0.308918,-2.23591,-3.4702,-2.11862,1.16879,-0.843392,-16.2404
-45.1639,0.932917,0.593493,3,7,0,47.5178,0.724436,-0.510221,0.0179628,-5.15713,5.63973,11.8059,4.05708,-11.25,7.58012
-45.0944,0.923443,0.593493,3,7,0,47.4199,0.000940857,-0.529898,-0.120737,-5.27468,8.79409,-9.14705,-3.99069,-16.5638,-2.02661
-44.8802,0.999095,0.593493,3,7,0,46.5077,0.876802,-0.306024,-0.120339,1.35397,-15.3806,-3.44823,7.6198,4.49818,-1.29884
-43.3338,0.996776,0.593493,2,3,0,45.0077,0.614799,-0.299993,-0.121635,-5.93323,-2.12889,1.02719,4.33579,2.95729,-2.13132
-43.011,0.996958,0.593493,3,7,0,43.741,0.356531,-0.416963,-0.0621826,3.32617,4.87382,-3.21051,0.419477,-7.74103,1.99724
-45.701,0.818456,0.593493,2,3,0,46.0949,0.199216,-0.554064,-0.251668,-0.47224,0.00609753,-7.62694,-1.97852,-16.4862,-9.92972
-45.7387,0.995129,0.593493,3,7,0,47.2625,-0.322126,-0.285269,0.0231967,-1.77306,-13.1177,-6.88757,-8.59041,3.32172,9.66808
-46.3855,0.986583,0.593493,3,7,0,48.4656,0.975006,-0.540464,-0.0715828,-4.2227,-7.73271,11.5527,6.29515,-10.7787,1.85559
-45.769,0.975203,0.593493,3,7,0,48.5399,-0.115518,-0.417624,-0.296296,4.94126,-16.2487,-0.302717,-5.34655,-6.78015,-14.949
