# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1861130243
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_age_nointeraction_soccr_study2_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,p_gamma.1,p_z_beta.1,p_z_beta.2,g_gamma.1,g_z_beta.1,g_z_beta.2
-45.0836,0.978098,0.426255,3,15,0,47.8802,0.679753,-0.232762,0.0600965,-7.09679,8.93472,3.41993,5.83438,9.97906,13.2771
-43.7144,0.999366,0.426255,3,7,0,46.0608,-0.0321334,-0.259225,-0.00339814,5.43213,6.48634,11.1113,-4.46945,4.81108,7.50296
-44.5042,0.976386,0.426255,3,7,0,45.4285,-0.187639,-0.394291,-0.041335,3.07,-6.98651,-5.87326,-6.40011,-6.58616,3.55905
-46.7555,0.953436,0.426255,3,7,0,48.1247,0.669248,-0.287033,0.18158,-4.55295,-2.87986,7.87951,5.15845,6.98075,22.5737
-45.1433,1,0.426255,2,3,0,47.0149,0.578628,-0.284915,0.122156,-3.24201,-0.800262,-14.8819,4.08647,5.75705,17.9623
-43.0173,0.999741,0.426255,2,3,0,45.2228,0.342324,-0.301123,0.0102478,3.86268,2.98779,15.3437,0.808462,1.9219,8.41595
-42.9389,1,0.426255,2,3,0,43.0632,0.366883,-0.295465,-0.00444706,-0.393629,-0.629379,4.27085,1.16806,2.39347,7.21361
-45.3791,0.904462,0.426255,3,7,0,46.4185,0.915665,-0.297482,-0.0398358,-4.2182,2.40493,5.74236,8.37492,5.80498,4.88963
-44.1673,0.945217,0.426255,3,15,0,48.6602,0.52242,-0.417876,-0.253489,6.81553,10.7715,16.5858,2.12407,-5.94673,-11.4629
-43.8871,0.996433,0.426255,3,15,0,44.6041,0.14859,-0.301322,0.0778539,1.54985,-7.90844,-6.23417,-1.90395,2.0709,14.2475
-44.0685,0.999227,0.426255,3,7,0,44.4595,0.389236,-0.287718,-0.276106,1.92252,-6.15053,-0.89536,1.03401,3.41718,-14.6387
-44.0091,0.989603,0.426255,3,7,0,45.1594,0.0352182,-0.408844,0.0365197,-0.0412903,-1.34359,13.4439,-3.55281,-7.43969,9.53782
-43.2133,0.996342,0.426255,3,7,0,44.8358,0.331318,-0.353743,-0.210534,-4.19385,-10.5586,5.41239,0.209304,-2.48674,-9.38989
-42.829,0.99997,0.426255,3,7,0,43.4117,0.436955,-0.378114,-0.0883636,-0.515125,2.67986,9.15889,1.60958,-4.34653,0.121855
-42.6662,0.984098,0.426255,3,7,0,43.6901,0.407856,-0.313654,-0.0805736,1.09837,-12.8346,-1.28182,1.58119,0.694368,0.784602
-43.4925,0.920806,0.426255,2,7,0,44.9288,0.587404,-0.254041,-0.049749,-3.76092,-10.5599,-4.92168,4.39622,6.78748,3.81031
-43.6554,0.965937,0.426255,2,3,0,44.4037,0.564305,-0.214654,-0.0720788,3.56549,4.17995,3.48556,4.25249,9.92115,2.06858
-42.7768,1,0.426255,2,3,0,43.7192,0.33055,-0.253569,-0.0676659,-3.83958,-6.9329,-0.494709,0.774716,5.53702,1.96023
-42.7461,0.982969,0.426255,3,7,0,43.6105,0.159924,-0.331673,-0.118398,3.74928,-6.20261,1.26423,-1.85414,-1.6642,-2.53909
-43.2374,0.983035,0.426255,2,7,0,43.5126,0.608836,-0.339826,-0.0759499,2.28747,0.0131683,2.53894,4.07407,-0.191096,1.38675
-44.4262,0.950515,0.426255,3,7,0,45.9422,0.448602,-0.519127,-0.0071741,-2.86072,-13.2957,4.35425,0.929752,-14.329,5.61778
-45.341,0.985909,0.426255,3,7,0,46.3027,0.144216,-0.07345,-0.139576,2.88935,4.7628,8.49744,-1.76372,21.5185,-4.03847
-44.0485,0.992349,0.426255,2,3,0,45.7981,0.139681,-0.141619,-0.124883,-0.279942,16.956,-3.36963,-1.87018,15.1382,-2.98705
-45.0456,0.979697,0.426255,4,15,0,45.511,-0.0805939,-0.158395,-0.197014,-0.912612,-7.90399,-3.19218,-5.18492,13.4326,-9.47798
-44.3154,0.971299,0.426255,2,3,0,46.0531,-0.0121315,-0.20838,-0.211828,4.06094,-11.0855,6.69534,-4.17538,8.99528,-10.6682
-44.1595,0.997525,0.426255,3,7,0,45.1692,0.658872,-0.479194,-0.0812773,2.03574,-4.72823,10.4884,3.52317,-10.1375,0.863647
-43.8152,0.998972,0.426255,3,15,0,45.3606,0.0376095,-0.324597,0.0506213,-2.00979,13.5672,-6.8085,-3.47916,-0.396302,11.6155
-43.5131,0.997735,0.426255,3,15,0,44.5263,0.522158,-0.435783,-0.15717,-2.58904,-5.31065,9.32597,2.19123,-7.97889,-4.68685
-43.6431,0.997227,0.426255,3,15,0,44.2969,0.0401526,-0.201843,-0.0365465,1.6468,5.47442,-7.53146,-3.39211,9.83817,4.87382
-46.4357,0.782226,0.426255,2,3,0,49.4198,-0.0287085,-0.0984301,0.0601757,-0.852172,16.4365,14.783,-4.45544,20.6053,15.0546
-43.0763,0.986136,0.426255,4,15,0,47.9188,0.511409,-0.353819,-0.0267693,-4.7103,20.5998,14.7734,2.77901,-1.78881,5.09638
-44.1748,0.966233,0.426255,3,7,0,44.8278,0.438929,-0.381546,-0.278984,3.67006,-2.40514,-1.56238,1.27244,-3.47837,-13.7889
-43.3897,0.981903,0.426255,2,7,0,45.7379,0.338858,-0.237178,0.0183556,-1.76947,7.17801,17.3932,1.00067,7.57611,9.68303
-42.6757,0.9929,0.426255,3,7,0,43.9192,0.254688,-0.289282,-0.128893,1.2067,10.3379,9.38774,-0.471624,2.12757,-3.37683
-43.3304,0.952545,0.426255,2,7,0,44.0955,0.627649,-0.320668,-0.0755675,3.43879,-3.85764,4.84977,4.45654,1.46903,1.50028
-45.0593,0.93152,0.426255,2,7,0,46.483,0.643353,-0.165419,-0.204496,-2.07391,10.7672,-9.38707,5.14108,14.1138,-8.55276
-43.9637,0.983239,0.426255,3,7,0,47.935,0.743755,-0.395609,-0.109099,-1.08783,-23.7057,10.1165,5.2275,-3.38758,-0.934823
-43.0419,0.996628,0.426255,2,3,0,44.176,0.558939,-0.322484,-0.0891653,4.6772,-4.96908,-1.23045,3.52468,0.819402,0.298163
-44.1616,0.957899,0.426255,2,7,0,44.8478,-0.0669145,-0.431395,-0.0330108,-3.77506,-2.41202,1.45918,-4.82176,-9.63726,4.03597
-47.5217,0.876971,0.426255,2,3,0,47.6953,-0.465644,-0.48436,-0.0534096,-1.55547,-0.273409,-3.20265,-9.32177,-11.9933,2.58668
-45.7712,1,0.426255,2,3,0,47.6261,-0.279735,-0.468955,-0.063913,-5.9121,-6.75946,1.86001,-7.26109,-11.9268,1.75479
