# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=505920961
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_full_soccr_study2_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-43.4511,0.974838,0.532525,2,3,0,43.4889,0.427823,-0.513425,-0.975208,0.747454,0.741998,-14.0357
-42.7183,0.99852,0.532525,3,7,0,43.5641,0.183527,-0.193933,-0.0246943,-12.3732,-1.20419,10.9884
-42.2375,1,0.532525,2,3,0,42.7689,0.322403,-0.245196,-1.64368,8.84954,0.730993,6.64782
-42.3494,0.992396,0.532525,3,7,0,42.6602,0.367529,-0.414408,2.68835,2.9025,0.606456,-7.22447
-42.3152,0.969749,0.532525,3,7,0,43.8834,0.199396,-0.236606,2.06414,-15.9898,-1.04476,7.08901
-42.5519,0.968225,0.532525,3,7,0,43.3211,0.336728,-0.440167,4.27599,4.26751,0.0983554,-9.32589
-42.719,0.992446,0.532525,2,3,0,42.8256,0.370267,-0.456268,-0.267748,-4.34025,0.41768,-10.3414
-42.3765,0.999494,0.532525,3,7,0,43.1117,0.53093,-0.318887,2.29672,-9.90831,3.28021,1.33672
-42.1405,0.998718,0.532525,2,7,0,42.4777,0.154354,-0.345976,-3.03547,-0.234345,-1.91192,-2.53202
-42.2957,0.993202,0.532525,2,7,0,42.3816,0.197342,-0.396202,1.46695,-1.14078,-1.46857,-6.49226
-42.3638,0.99836,0.532525,2,3,0,42.3789,0.165281,-0.398371,0.321524,-1.42736,-1.88418,-6.74573
-42.1091,0.986925,0.532525,2,7,0,42.8644,0.328887,-0.376298,4.1208,4.9317,0.300081,-4.43182
-42.1747,0.996866,0.532525,3,7,0,42.2365,0.321958,-0.255271,-1.09349,1.80653,0.690369,5.75109
-42.7168,0.944317,0.532525,3,7,0,43.8298,0.348947,-0.456656,-4.95047,6.26444,0.162514,-10.4818
-42.0246,1,0.532525,2,3,0,42.7087,0.281659,-0.353421,-0.41155,11.0777,-0.226384,-2.77617
-42.5587,0.980062,0.532525,3,7,0,42.7721,0.0376028,-0.256514,2.39119,0.88275,-3.44939,5.08415
