# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=940085228
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_null_soccr_study2_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,p_gamma.1,g_gamma.1
-45.8431,0.960047,0.652319,1,3,0,46.1717,0.115184,-3.00845,-2.14066
-45.7219,1,0.652319,2,3,0,45.8365,0.196766,-1.77624,-0.830378
-45.7132,0.997437,0.652319,3,7,0,45.7686,0.208591,-1.23509,-0.641218
-45.7562,0.954902,0.652319,3,7,0,46.3729,0.165153,-4.1215,-1.33712
-45.8858,0.963553,0.652319,2,3,0,46.1741,0.0965351,2.81815,-2.44119
-46.0234,0.983001,0.652319,1,1,0,46.0234,0.0479726,-0.0265809,-3.22491
-45.7077,0.997538,0.652319,3,7,0,46.0975,0.218381,-3.27672,-0.484776
-45.88,0.984513,0.652319,3,7,0,45.9529,0.0989392,-1.41703,-2.40243
-46.4412,0.776362,0.652319,1,3,0,48.8248,0.556408,8.10271,4.76876
-46.7295,0.987743,0.652319,3,7,0,46.8906,-0.109152,-2.10646,-5.76217
-47.1684,0.98231,0.652319,2,3,0,47.1903,-0.178591,0.777489,-6.87845
-45.7098,0.925858,0.652319,1,3,0,48.3181,0.214423,-8.47605,-0.548007
-45.8844,0.962052,0.652319,3,7,0,46.2646,0.401436,-3.23605,2.40231
-45.8844,0.843967,0.652319,1,3,0,47.9678,0.401436,7.57513,2.40231
-46.2033,0.8376,0.652319,1,3,0,48.0838,-0.00166194,7.19681,-4.02686
-46.2033,0.987012,0.652319,1,1,0,46.3258,-0.00166194,-1.83648,-4.02686
-45.9937,1,0.652319,1,1,0,46.1773,0.0573993,-2.24909,-3.07268
-45.8968,1,0.652319,3,7,0,45.9842,0.09209,1.55199,-2.51287
-45.8017,0.978568,0.652319,3,7,0,46.2924,0.136135,3.67605,-1.80341
-45.8691,0.991654,0.652319,1,1,0,45.8693,0.10351,0.0707627,-2.32876
-45.7082,0.975986,0.652319,1,3,0,46.17,0.280141,3.56661,0.497988
-45.7026,0.987044,0.652319,3,7,0,45.893,0.265812,-2.28973,0.270655
-45.7218,0.994242,0.652319,1,3,0,45.7727,0.196915,-1.1845,-0.828001
-46.8907,0.903597,0.652319,2,3,0,46.8907,-0.136116,0.0306345,-6.19628
-47.3994,0.93888,0.652319,1,1,0,47.4246,-0.210962,0.832356,-7.39668
-48.3644,0.888221,0.652319,1,1,0,48.376,-0.326954,0.564054,-9.23747
-47.9932,1,0.652319,1,1,0,48.4843,-0.285287,3.67797,-8.57953
-47.6749,1,0.652319,1,1,0,48.0974,-0.246812,-3.4113,-7.96856
-47.8187,0.994162,0.652319,2,3,0,48.0135,-0.264549,-2.31655,-8.2506
-45.7376,1,0.652319,2,3,0,47.5606,0.180425,-7.08601,-1.09214
