# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1238074989
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_age_nointeraction_soccr_study1_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,p_gamma.1,p_z_beta.1,p_z_beta.2,g_gamma.1,g_z_beta.1,g_z_beta.2
-28.0218,0.930012,0.521622,3,7,0,30.8599,-0.633787,-0.548873,-0.0548881,-1.90619,1.31635,13.8845,2.30636,-7.93464,8.89874
-26.7064,0.848859,0.521622,2,3,0,30.4645,-0.886013,-0.419913,-0.236896,2.68862,-7.81365,13.1215,-0.454824,2.07999,-1.28209
-26.7064,0.663253,0.521622,1,3,0,32.5446,-0.886013,-0.419913,-0.236896,0.867074,4.21648,-20.6156,-0.454824,2.07999,-1.28209
-27.8153,0.908562,0.521622,2,3,0,28.0017,-0.515726,-0.501527,-0.0767466,0.714939,-2.91245,1.14289,2.9271,-6.16736,7.47292
-27.5631,0.99905,0.521622,3,7,0,28.6965,-1.33102,-0.617791,-0.208868,-0.105088,8.49558,-2.23492,-2.15858,-3.55681,2.59628
-29.136,0.964364,0.521622,2,7,0,29.7233,-1.74817,-0.734806,-0.389149,-0.526775,-2.48437,-6.03423,-3.57332,-2.37118,-2.4056
-30.7662,0.975859,0.521622,3,7,0,31.9565,0.0730865,-0.225261,-0.138049,-0.635384,-4.40235,-8.18585,7.76124,8.91697,0.290931
-32.7015,0.950295,0.521622,4,15,0,34.1075,-2.37364,-1.01837,-0.365793,-3.50339,-0.903496,-5.09708,-4.03755,-5.45087,0.00851925
-34.1983,0.967881,0.521622,2,3,0,34.9763,-2.36357,-1.13481,-0.169889,2.15353,4.99121,0.881424,-2.25015,-10.6214,6.33953
-29.2161,1,0.521622,3,7,0,35.339,-1.18955,-0.598213,-0.597758,-6.72927,-12.1615,-1.64339,-0.666183,1.40436,-12.1108
-28.1712,0.987089,0.521622,2,7,0,30.5159,-0.535877,-0.595331,-0.125201,-0.481185,-6.24071,-11.6131,3.22787,-9.76101,6.3439
-27.7457,0.96279,0.521622,3,7,0,29.7235,-1.36875,-0.442708,-0.274628,-2.41189,5.41595,-8.96864,-3.83738,4.71073,-1.62235
-27.6616,1,0.521622,3,7,0,28.1783,-0.864642,-0.678109,-0.312414,2.42131,-0.0521929,0.949272,1.38331,-8.35442,-0.589606
-27.6462,0.997122,0.521622,2,3,0,28.0433,-1.04327,-0.682972,-0.368698,-1.38487,3.83854,-1.03711,0.264506,-6.42391,-2.74466
-26.6703,0.994211,0.521622,2,7,0,28.2784,-0.90057,-0.461104,-0.201652,0.866401,8.40812,6.19533,-0.354201,-0.295448,0.952118
-27.4893,0.900527,0.521622,2,3,0,27.853,-0.798167,-0.63483,-0.218283,0.962136,-3.1463,3.25714,1.58305,-8.55183,2.67564
-27.5832,0.998025,0.521622,3,7,0,28.6799,-1.07396,-0.323531,-0.110451,-1.37703,-6.53165,4.82851,-2.75571,6.59086,3.9276
-30.0878,0.835618,0.521622,2,3,0,30.5527,-1.07534,-0.111462,-0.129659,-2.11265,1.72054,1.68187,-3.67737,17.5082,1.09975
-27.5581,0.975452,0.521622,3,7,0,31.4201,-0.411628,-0.331069,-0.131749,-2.09334,15.3361,0.638452,3.11892,3.06782,2.38945
-28.1063,0.962443,0.521622,3,7,0,28.6253,-1.52958,-0.654569,-0.317724,0.952732,4.02726,3.93644,-3.0633,-2.07794,-0.987758
-28.0767,0.926049,0.521622,2,7,0,30.7411,-1.32226,-0.490661,-0.429469,3.01133,9.5727,-6.38058,-2.69885,4.018,-7.21113
-28.5485,0.969069,0.521622,3,7,0,29.4063,-0.639803,-0.517999,0.0191076,-0.743967,-7.38221,0.550779,2.13547,-7.04831,11.9879
-27.5356,0.994061,0.521622,3,7,0,29.1349,-1.16921,-0.361671,-0.139149,1.9487,-3.91278,8.98105,-3.21983,5.66119,3.02616
-27.5118,0.998679,0.521622,2,7,0,27.8183,-1.24622,-0.403129,-0.165503,0.0465795,-3.87263,-2.55229,-3.46478,4.54849,2.31555
-27.6675,0.989124,0.521622,2,7,0,28.1122,-1.30823,-0.405713,-0.243485,0.288853,-1.62646,-5.54272,-3.75358,5.59416,-0.853031
-27.4423,0.982411,0.521622,2,7,0,28.3656,-1.11331,-0.362995,-0.115985,2.93107,-1.81191,3.22585,-2.7947,4.98685,4.05684
-27.3664,0.949863,0.521622,2,7,0,28.8047,-1.29615,-0.561058,-0.324178,-2.24669,7.01148,4.61616,-2.3374,-0.289929,-2.49084
-27.6487,0.992526,0.521622,3,7,0,27.6644,-0.650921,-0.244882,-0.196399,0.308118,-0.537315,-0.504468,0.685631,9.67661,-2.09807
-27.8416,0.925082,0.521622,2,7,0,29.4977,-1.19248,-0.508931,-0.0471062,2.04716,9.13106,-2.18306,-2.14321,-1.68879,8.36347
-27.3772,0.919359,0.521622,3,7,0,31.8482,-0.434548,-0.460842,-0.233279,-3.91448,-12.1531,8.63369,3.42216,-2.18564,-0.970553
-31.1612,0.764236,0.521622,2,3,0,31.4226,0.16468,-0.447847,-0.100902,-0.767393,2.8684,2.6191,8.4057,-4.35799,5.60846
-28.395,0.997913,0.521622,2,3,0,31.7707,-0.267407,-0.389967,-0.0630072,-6.00776,4.1502,0.979037,4.596,-1.5328,6.98809
-29.1902,0.930493,0.521622,2,3,0,29.9313,-0.12249,-0.336783,-0.0552443,2.44755,-1.6843,3.75915,5.83866,1.11893,6.82334
-27.9153,1,0.521622,3,7,0,29.9167,-1.28256,-0.685425,-0.410307,1.23398,-9.13905,-6.99657,-1.19472,-4.19592,-4.08935
-28.633,0.982707,0.521622,2,3,0,28.6448,-1.44862,-0.713281,-0.481681,0.00366326,0.840999,0.320806,-1.89821,-3.06572,-5.91395
-26.9899,0.994544,0.521622,2,7,0,28.8857,-1.10871,-0.533016,-0.181524,2.74917,5.85545,7.54265,-1.38064,-2.26076,2.82806
-26.7524,0.977622,0.521622,3,7,0,27.7915,-0.923009,-0.46178,-0.28281,-1.99048,-4.61277,5.43564,-0.415055,0.950567,-2.73816
-27.1841,0.973284,0.521622,2,3,0,27.2645,-1.19317,-0.485689,-0.319162,-0.507662,-1.92752,0.505676,-2.18271,2.08808,-3.39949
-27.6667,0.940378,0.521622,2,5,0,29.4119,-1.31365,-0.665899,-0.338341,0.924363,10.5915,0.965057,-1.59695,-4.16188,-1.73632
-26.9906,0.90903,0.521622,3,7,0,29.435,-1.15057,-0.459504,-0.213636,5.19808,-1.28737,2.67443,-2.25866,1.7252,0.656016
-27.3248,0.971753,0.521622,3,7,0,27.6236,-0.797343,-0.563899,-0.126936,-1.81146,0.800878,-0.722707,1.15179,-6.73883,5.70243
-27.1911,0.993202,0.521622,3,7,0,27.8129,-0.652941,-0.449728,-0.0892232,-0.0737741,6.1503,-2.18258,1.53582,-2.73228,6.2214
-26.9907,0.993062,0.521622,3,7,0,27.7179,-0.88766,-0.337312,-0.188516,0.600278,0.75007,7.28364,-1.0255,5.60299,-0.00771923
-28.4852,0.909586,0.521622,3,7,0,28.7399,-1.46313,-0.391347,-0.282066,0.964639,-1.36153,-3.36853,-4.82397,7.59557,-2.06051
-27.6868,0.978608,0.521622,2,3,0,29.0585,-1.20865,-0.349487,-0.24862,3.65173,-3.23299,2.29985,-3.37132,7.52765,-1.88413
-27.0607,0.988426,0.521622,2,7,0,28.3967,-1.19786,-0.488237,-0.258426,0.725328,-9.32916,-0.500334,-2.32052,1.29873,-0.861073
-27.0571,0.985321,0.521622,3,7,0,27.63,-0.692993,-0.550851,-0.230747,-2.43551,-1.9077,0.792105,1.80835,-5.35558,0.82538
-28.2918,0.921684,0.521622,2,7,0,29.1736,-1.50694,-0.484143,-0.343744,-2.99496,0.954695,-2.71864,-4.26783,4.61226,-3.47905
